N	2gram	Vygotskiy__2	VelikijI
1	и не	10	20
2	и в	32	16
3	то что	21	9
4	так как	12	9
5	еще не	2	8
6	что они	7	7
7	а не	7	7
8	к людям	2	6
9	как бы	6	5
10	но и	10	5
11	все это	5	5
12	того что	8	5
13	что все	9	4
14	что он	13	4
15	в нем	4	4
16	как и	10	4
17	все что	2	4
18	так и	3	4
19	что не	3	4
20	потому что	21	4
21	в этом	13	4
22	в ней	5	4
23	и все	4	4
24	в его	2	4
25	с его	2	3
26	первый раз	2	3
27	что в	20	3
28	в этих	2	3
29	в них	2	3
30	они в	2	3
31	в конце	3	3
32	в жизни	4	3
33	ни в	2	3
34	в том	37	3
35	не в	8	3
36	но это	2	3
37	тот же	6	3
38	и мы	6	3
39	к тому	7	3
40	во всех	3	3
41	никогда не	9	3
42	оно не	2	3
43	то это	3	3
44	что и	17	3
45	жизни и	4	3
46	как не	2	3
47	в своей	3	3
48	бы и	3	3
49	тому что	4	3
50	не было	2	3
51	и что	22	3
52	не имеет	4	3
53	хотя бы	3	3
54	и для	4	3
55	их в	2	3
56	в первый	2	3
57	все эти	7	3
58	в чем	4	3
59	но в	3	3
60	не могут	3	2
61	с тем	11	2
62	на нас	3	2
63	это не	2	2
64	для нас	2	2
65	том что	21	2
66	а к	2	2
67	когда я	2	2
68	но не	2	2
69	не к	3	2
70	и сам	4	2
71	того чтобы	14	2
72	вслед за	5	2
73	не только	12	2
74	не могли	3	2
75	один из	3	2
76	и т	10	2
77	на том	2	2
78	т д	2	2
79	а с	2	2
80	тем что	9	2
81	мы не	3	2
82	и никогда	2	2
83	не так	2	2
84	а в	4	2
85	можно было	7	2
86	и то	3	2
87	между тем	4	2
88	могут быть	4	2
89	только в	7	2
90	и это	4	2
91	во всяком	2	2
92	которые не	3	2
