N	2gram	Voloshinov_2	VeschiIm
1	не есть	3	49
2	не может	18	33
3	не только	13	31
4	может быть	28	29
5	это –	9	29
6	и не	19	28
7	и в	19	26
8	то что	4	24
9	а не	9	20
10	в смысле	6	15
11	и следовательно	6	15
12	только в	8	14
13	того что	4	13
14	по себе	3	13
15	что это	2	12
16	было бы	4	12
17	но и	10	12
18	сказать что	4	12
19	все же	5	12
20	и то	3	12
21	и ее	4	12
22	таким образом	14	11
23	то же	16	10
24	в ней	3	10
25	как бы	19	10
26	в том	7	9
27	в самом	6	9
28	бы то	4	9
29	и с	2	9
30	ни было	6	9
31	прежде всего	7	9
32	то ни	5	9
33	что не	2	9
34	иное как	2	8
35	на то	4	8
36	в себе	4	8
37	и это	3	8
38	ничего не	4	8
39	совершенно не	5	7
40	– не	6	7
41	что оно	3	7
42	в то	8	7
43	его в	7	7
44	так как	3	7
45	– в	4	7
46	том что	10	7
47	себя в	2	7
48	не будет	3	7
49	и их	4	7
50	как раз	4	7
51	и пр	25	7
52	с другими	3	7
53	в этом	15	7
54	ли это	2	7
55	и как	6	6
56	что они	2	6
57	но что	2	6
58	что в	2	6
59	для него	9	6
60	жизни и	2	6
61	должно быть	3	6
62	точки зрения	17	6
63	но в	7	6
64	по крайней	2	6
65	одно и	3	6
66	крайней мере	2	6
67	относится к	3	6
68	если мы	6	6
69	должна быть	4	5
70	в отношении	4	5
71	это не	4	5
72	не в	10	5
73	свою очередь	5	5
74	еще не	3	5
75	и до	3	5
76	– как	5	5
77	должны быть	2	5
78	а в	3	5
79	чем же	3	5
80	если бы	11	5
81	отнюдь не	8	5
82	в свою	6	5
83	в ее	3	5
84	у нас	3	5
85	одна из	7	5
86	но не	2	5
87	того же	5	5
88	другими словами	2	5
89	в сущности	14	5
90	для себя	4	5
91	и для	7	5
92	себя с	2	5
93	собственном смысле	2	4
94	в своем	2	4
95	с другой	3	4
96	независимо от	2	4
97	же время	8	4
98	в их	5	4
99	и даже	2	4
100	с этим	3	4
101	о том	3	4
102	не существует	3	4
103	и более	7	4
104	и все	6	4
105	как и	9	4
106	во всех	6	4
107	и о	2	4
108	и потому	2	4
109	на почве	9	4
110	должен быть	2	4
111	что и	3	4
112	быть и	6	4
113	слово и	3	4
114	между ними	2	4
115	с точки	13	4
116	мы не	2	4
117	в данном	5	4
118	тем что	2	4
119	слово –	5	3
120	никогда не	7	3
121	она является	3	3
122	вопрос о	2	3
123	в собственном	2	3
124	к тому	6	3
125	более или	2	3
126	как о	2	3
127	в нем	11	3
128	себя самого	2	3
129	отношения к	2	3
130	но как	2	3
131	или как	2	3
132	даже и	2	3
133	к другому	5	3
134	к пониманию	4	3
135	в жизни	2	3
136	что он	4	3
137	мы возьмем	2	3
138	этот тип	2	3
139	в своей	3	3
140	вместе с	2	3
141	так и	10	3
142	или менее	2	3
143	да и	3	3
144	только на	4	3
145	и тогда	2	3
146	а с	2	3
147	в той	5	3
148	самом деле	9	3
149	бы в	4	3
150	того чтобы	6	3
151	хотя бы	6	3
152	тем более	5	3
153	в основе	9	3
154	– с	3	2
155	понимания и	2	2
156	его и	3	2
157	тому что	4	2
158	на все	2	2
159	они –	2	2
160	ни в	6	2
161	мы уже	6	2
162	быть понято	2	2
163	и тем	4	2
164	для всего	3	2
165	в слове	4	2
166	так же	5	2
167	конечно и	2	2
168	от одного	3	2
169	в более	2	2
170	понимание в	2	2
171	но ведь	3	2
172	– мы	2	2
173	оно может	3	2
174	то есть	2	2
175	мы можем	6	2
176	но они	2	2
177	является в	2	2
178	от этого	2	2
179	о чем	2	2
180	не с	2	2
181	различие между	2	2
182	– и	5	2
183	на этой	5	2
184	в качестве	3	2
185	он не	3	2
186	субъективизма и	2	2
187	нем нет	2	2
188	– это	4	2
189	но к	2	2
190	мысли и	3	2
191	приводит к	2	2
192	еще более	2	2
193	как мы	15	2
194	допустим что	2	2
195	для того	6	2
196	тем же	4	2
197	и его	16	2
198	той же	3	2
199	во всяком	3	2
200	выражение в	5	2
201	отношении к	5	2
202	если же	2	2
203	в особенности	2	2
204	это было	2	2
