N	2gram	Bakhtin_Pr_3	NovoeSre
1	а не	11	17
2	не может	2	16
3	и в	53	16
4	нового времени	8	12
5	и не	15	11
6	что в	2	9
7	в эпоху	10	9
8	истории и	2	9
9	жизни и	9	8
10	он не	3	8
11	в том	14	8
12	средние века	11	7
13	как и	11	7
14	в этом	8	7
15	может быть	12	7
16	с его	2	6
17	никогда не	2	6
18	не знает	4	6
19	не в	2	6
20	но это	3	6
21	в нем	10	5
22	все это	8	5
23	в жизни	8	5
24	и к	5	5
25	в ней	7	5
26	не только	4	5
27	не менее	3	4
28	то что	9	4
29	в них	2	4
30	это не	6	4
31	и все	10	4
32	не было	4	4
33	новое время	4	4
34	и для	4	4
35	потому что	5	4
36	по своему	6	4
37	прежде всего	15	4
38	о том	2	4
39	и потому	5	4
40	но и	7	3
41	в средние	10	3
42	в своей	3	3
43	в истории	3	3
44	жизни в	3	3
45	с другой	2	3
46	человека и	7	3
47	в духе	8	3
48	во всех	12	3
49	перейти к	2	3
50	в мире	5	3
51	в ее	3	3
52	бога и	2	3
53	в основе	5	3
54	конечно не	4	3
55	как в	7	3
56	еще не	5	3
57	наряду с	5	3
58	сказать что	10	3
59	в новое	4	3
60	это было	3	3
61	жизни как	4	2
62	времени и	2	2
63	я не	4	2
64	на протяжении	5	2
65	нем нет	3	2
66	место в	2	2
67	вместе с	2	2
68	века и	5	2
69	так и	6	2
70	и т.п	31	2
71	формы и	3	2
72	и от	3	2
73	а в	2	2
74	все эти	9	2
75	и даже	2	2
76	хотя бы	2	2
77	но не	5	2
78	по существу	5	2
79	мы не	4	2
80	том что	5	2
81	в смысле	2	2
82	связана с	2	2
83	связаны с	3	2
84	есть в	3	2
85	можно назвать	2	2
86	одна из	7	2
87	и с	6	2
88	силы и	2	2
89	и заключается	2	2
90	могут быть	4	2
91	с этим	2	2
92	и на	18	2
93	в себе	5	2
94	с их	2	2
95	в то	5	2
96	как будто	2	2
97	самой жизни	2	2
98	и это	3	2
99	xviii века	3	2
100	мира и	2	2
101	как это	2	2
102	хотя и	4	2
103	но в	5	2
