N	2gram	Bakhtin_Pr_3	Tvorches
1	у достоевского	13	30
2	и в	34	20
3	романах достоевского	3	13
4	не только	10	13
5	и т	8	13
6	в романах	3	13
7	никогда не	8	11
8	т д	2	11
9	как бы	27	11
10	в преступлении	2	10
11	в его	22	10
12	таким образом	5	10
13	в то	12	10
14	достоевского в	3	9
15	и его	16	9
16	и не	29	9
17	прежде всего	15	8
18	в том	3	8
19	при этом	4	8
20	ивана карамазова	3	8
21	но и	12	8
22	может быть	19	8
23	в этом	16	8
24	и с	15	8
25	это не	5	7
26	братьях карамазовых	3	7
27	же время	12	7
28	что в	7	7
29	не может	19	7
30	то же	14	7
31	потому что	12	7
32	у него	4	6
33	в конце	5	6
34	что он	23	6
35	в братьях	3	6
36	как и	18	6
37	из подполья	36	6
38	в целом	5	6
39	в своей	3	6
40	так и	6	6
41	все это	16	6
42	а не	9	6
43	в мире	4	5
44	но это	4	5
45	еще не	4	5
46	но не	4	5
47	и сам	5	5
48	например в	2	5
49	все же	7	5
50	и даже	7	5
51	так же	8	5
52	и на	6	5
53	о том	2	5
54	героев достоевского	4	5
55	в творчестве	3	5
56	за собой	3	4
57	в душе	2	4
58	что у	6	4
59	и от	5	4
60	том что	3	4
61	что они	6	4
62	отнюдь не	2	4
63	на его	4	4
64	хотя и	3	4
65	когда он	2	4
66	как в	4	4
67	если не	3	4
68	все эти	4	4
69	героя в	5	4
70	не в	9	4
71	настасьи филипповны	7	4
72	а в	5	4
73	в чем	5	4
74	настасья филипповна	5	4
75	творчестве достоевского	5	4
76	и потому	2	4
77	ничего не	4	4
78	если бы	4	4
79	но в	16	4
80	братьев карамазовых	2	4
81	записках из	2	3
82	а с	3	3
83	я бы	3	3
84	он сам	5	3
85	мире достоевского	3	3
86	с этой	2	3
87	несколько раз	2	3
88	в одной	3	3
89	с ним	8	3
90	но зато	3	3
91	отношению к	6	3
92	достоевского нет	3	3
93	достоевского это	2	3
94	для него	13	3
95	что не	7	3
96	своего рода	2	3
97	в самом	8	3
98	он не	15	3
99	в котором	3	3
100	не является	2	3
101	один из	2	3
102	в нем	19	3
103	то что	11	3
104	и это	4	3
105	вместе с	4	3
106	по отношению	5	3
107	так как	4	3
108	уже не	2	3
109	тем что	4	3
110	в которых	2	3
111	в себе	6	3
112	в начале	4	3
113	его в	4	3
114	в записках	3	3
115	в плане	6	3
116	между тем	3	3
117	уже в	3	2
118	и вдруг	4	2
119	все время	5	2
120	в роман	2	2
121	в силах	2	2
122	не менее	3	2
123	это уже	2	2
124	от этой	2	2
125	его и	3	2
126	и без	2	2
127	с другой	4	2
128	по крайней	3	2
129	в такой	3	2
130	не знал	2	2
131	в одном	5	2
132	я не	7	2
133	вовсе не	11	2
134	и лишь	2	2
135	в этот	2	2
136	во всяком	5	2
137	а я	10	2
138	такой же	3	2
139	и ее	2	2
140	крайней мере	3	2
141	в ее	3	2
142	что его	3	2
143	тому же	2	2
144	так что	5	2
145	более того	2	2
146	что я	15	2
147	сам в	2	2
148	которой он	2	2
149	и если	2	2
150	в произведениях	2	2
151	отказаться от	2	2
152	всяком случае	5	2
153	нет и	3	2
154	на него	7	2
155	с иваном	3	2
156	так в	2	2
157	к самому	3	2
158	в отличие	2	2
159	т п	6	2
160	бы не	2	2
161	не было	2	2
162	достоевского и	3	2
163	сводится к	3	2
164	самом деле	13	2
165	и что	5	2
166	и у	5	2
167	и наконец	5	2
168	другой стороны	3	2
169	и он	2	2
170	друг друга	2	2
171	особенно в	2	2
172	рядом с	4	2
173	с другими	4	2
174	с ними	6	2
175	из них	5	2
176	в виде	4	2
177	для достоевского	4	2
178	в которой	2	2
179	говорить о	3	2
180	с другим	11	2
181	и вообще	2	2
182	и только	2	2
183	только в	6	2
184	героя и	9	2
185	так сказать	2	2
186	их в	3	2
187	только с	3	2
188	отличие от	2	2
189	произведениях достоевского	2	2
190	к которому	2	2
191	же не	2	2
