N	2gram	Propp_Russ_1	Mirosoze
1	может быть	8	30
2	не только	22	29
3	и в	36	28
4	не может	4	28
5	но и	16	25
6	а не	2	25
7	в этом	12	20
8	не было	2	18
9	у него	2	17
10	потому что	10	16
11	в ней	2	15
12	он был	2	14
13	до конца	2	14
14	в нем	2	13
15	и не	6	11
16	что в	19	10
17	в своем	3	10
18	и потому	2	10
19	с тем	8	9
20	в его	2	9
21	но не	2	8
22	того что	4	7
23	но в	2	7
24	в том	17	6
25	все это	6	6
26	и на	10	6
27	вместе с	10	6
28	только в	4	6
29	это не	10	5
30	у нас	8	5
31	как и	10	5
32	то что	6	5
33	христа в	2	5
34	в этих	3	4
35	в их	4	4
36	в середине	3	4
37	и по	8	4
38	а в	9	4
39	в которых	5	4
40	точки зрения	3	4
41	чем у	2	4
42	в них	6	4
43	один из	8	4
44	она не	2	4
45	к ней	2	4
46	что и	7	4
47	уже не	6	4
48	тем что	4	4
49	значит что	2	4
50	себя и	2	3
51	к тому	4	3
52	для нас	6	3
53	христа и	3	3
54	и их	4	3
55	в свете	2	3
56	не имеет	6	3
57	с этим	2	3
58	так как	15	3
59	то есть	3	3
60	и с	2	3
61	на этом	3	3
62	для них	3	3
63	одно из	5	3
64	в жизни	2	3
65	с собой	4	3
66	интерес к	2	3
67	том что	19	3
68	ничего не	3	3
69	мы увидим	8	3
70	когда он	2	3
71	будто бы	6	3
72	его как	2	2
73	в свою	3	2
74	о чем	3	2
75	на этот	3	2
76	его с	4	2
77	могут быть	2	2
78	все эти	2	2
79	и что	4	2
80	и те	3	2
81	в более	2	2
82	как бы	5	2
83	о том	8	2
84	как он	2	2
85	в россии	4	2
86	не значит	2	2
87	с ним	2	2
88	у которых	2	2
89	к этому	4	2
90	мы видим	2	2
91	чем в	2	2
92	как будто	5	2
93	и к	3	2
94	так называемый	2	2
95	еще в	4	2
96	в этот	10	2
97	все же	5	2
98	с ней	2	2
99	как в	5	2
100	приводит к	3	2
101	входит в	4	2
102	т е	17	2
103	и у	5	2
104	и как	2	2
105	и для	2	2
