N	2gram	Medvedev_F_1	Mirosoze
1	и в	24	46
2	в нем	14	22
3	может быть	14	21
4	в этом	15	20
5	никогда не	4	18
6	для него	3	18
7	и не	20	18
8	не только	7	18
9	есть лишь	2	17
10	но и	7	15
11	не может	16	15
12	как и	11	13
13	не есть	2	13
14	а не	10	13
15	прежде всего	22	12
16	друг друга	4	12
17	не было	3	11
18	в ней	10	11
19	у нас	5	11
20	но в	5	10
21	он не	3	10
22	в себе	3	10
23	не в	8	9
24	но это	3	8
25	как бы	6	8
26	в своем	11	8
27	отношение к	3	8
28	она не	6	8
29	в мире	4	7
30	в этой	6	7
31	в нашем	2	7
32	человек не	3	7
33	что он	3	7
34	и к	4	7
35	и потому	9	7
36	как в	8	7
37	хотя бы	5	7
38	вопрос о	2	6
39	так же	4	6
40	того что	5	6
41	и здесь	6	6
42	жизни и	7	6
43	то же	10	5
44	в отношении	3	5
45	и вот	2	5
46	в самом	5	5
47	один из	3	5
48	к отрицанию	2	5
49	это не	2	5
50	и все	6	5
51	во всем	2	5
52	к тому	3	5
53	то что	8	5
54	в своей	11	5
55	и его	10	5
56	в его	23	5
57	и это	2	5
58	что в	4	4
59	для этого	4	4
60	до конца	7	4
61	только и	4	4
62	они не	3	4
63	должны быть	5	4
64	с его	4	4
65	в жизни	3	4
66	думать что	3	4
67	в свою	8	4
68	должен быть	5	4
69	что и	2	4
70	так и	18	4
71	т е	34	4
72	уже не	2	4
73	у них	3	4
74	жизнь и	3	4
75	же как	2	3
76	и от	7	3
77	в каждом	3	3
78	на все	3	3
79	ни в	2	3
80	в том	6	3
81	лишь как	5	3
82	менее всего	2	3
83	жизни в	2	3
84	не для	3	3
85	не так	2	3
86	в своих	2	3
87	и на	8	3
88	и с	8	3
89	его в	3	3
90	в россии	3	3
91	с ним	2	3
92	и должно	2	3
93	к которому	2	3
94	они были	2	3
95	если бы	4	3
96	в них	3	3
97	что было	2	3
98	это и	3	3
99	до сих	6	3
100	на почве	13	3
101	сих пор	6	3
102	от того	2	3
103	чтобы не	2	3
104	он в	2	3
105	только в	2	3
106	отношении к	2	3
107	жизни не	2	2
108	место в	7	2
109	а лишь	2	2
110	и глубже	2	2
111	но эта	2	2
112	все время	2	2
113	нас не	2	2
114	в действительности	2	2
115	и если	2	2
116	на его	2	2
117	она есть	2	2
118	но для	3	2
119	по отношению	4	2
120	как к	3	2
121	отношения к	6	2
122	и других	3	2
123	лишь в	8	2
124	должно быть	11	2
125	его не	2	2
126	а в	6	2
127	и те	2	2
128	в основе	3	2
129	не о	3	2
130	точки зрения	16	2
131	бы в	3	2
132	между тем	2	2
133	его с	2	2
134	если он	3	2
135	по себе	5	2
136	связи с	3	2
137	и что	2	2
138	мы увидим	4	2
139	не от	2	2
140	во всех	5	2
141	к ней	2	2
142	как ее	2	2
143	еще в	2	2
144	оно не	4	2
145	отношению к	4	2
146	вместе с	2	2
147	быть и	4	2
148	ни одного	2	2
149	из этой	2	2
150	от этого	2	2
151	в которой	4	2
152	ничего не	2	2
