N	2gram	Losev_Vlad_3	RusskieA
1	и в	40	36
2	не только	25	22
3	что в	17	19
4	том что	18	19
5	в том	18	17
6	но и	18	16
7	так как	7	15
8	в этом	16	12
9	в этот	2	10
10	это не	3	10
11	как мы	8	10
12	как и	7	10
13	вместе с	7	10
14	и на	6	10
15	потому что	11	10
16	об этом	6	9
17	а в	7	9
18	с тем	7	8
19	у нас	5	8
20	из них	2	8
21	может быть	8	8
22	и по	2	8
23	о том	11	8
24	как это	4	8
25	что и	7	7
26	так и	6	7
27	и не	25	6
28	для нас	5	6
29	при этом	3	6
30	уже не	9	6
31	таким образом	11	6
32	мы не	2	6
33	не имеет	4	6
34	в виде	13	6
35	то что	28	6
36	все же	4	5
37	как бы	3	5
38	а и	2	5
39	в течение	4	5
40	и у	3	5
41	там же	7	5
42	тому что	4	4
43	из этих	3	4
44	к этому	2	4
45	к тому	7	4
46	что на	2	4
47	по существу	4	4
48	еще не	4	4
49	связи с	2	4
50	еще в	5	4
51	в их	2	4
52	в россии	3	4
53	не может	14	4
54	в связи	3	4
55	а с	4	4
56	мы имеем	3	4
57	и что	8	4
58	того что	7	4
59	что этот	3	4
60	но это	6	4
61	тем что	5	4
62	только в	13	4
63	не менее	9	3
64	что это	9	3
65	по этому	3	3
66	в этих	2	3
67	в качестве	3	3
68	в своем	8	3
69	но все	3	3
70	в древнем	5	3
71	в одном	5	3
72	и к	2	3
73	тем не	10	3
74	не можем	2	3
75	в это	2	3
76	несмотря на	7	3
77	только на	5	3
78	в основном	4	3
79	а также	8	3
80	в настоящее	3	3
81	не с	4	3
82	в разных	2	3
83	то же	4	3
84	всякого рода	3	3
85	к тем	2	3
86	с точки	6	3
87	так же	8	3
88	ничего не	5	3
89	точки зрения	13	3
90	как например	2	3
91	настоящее время	3	3
92	то есть	24	3
93	далеко не	3	3
94	которые не	2	3
95	не было	5	2
96	и более	2	2
97	независимо от	3	2
98	но даже	4	2
99	в нашем	2	2
100	с этим	2	2
101	и потому	10	2
102	не просто	10	2
103	в нем	3	2
104	у него	24	2
105	в в	2	2
106	в жизни	2	2
107	он был	2	2
108	так что	14	2
109	и как	7	2
110	в дальнейшем	4	2
111	в силу	2	2
112	такой же	4	2
113	но не	4	2
114	быть и	2	2
115	но что	2	2
116	до конца	4	2
117	она не	2	2
118	отнюдь не	5	2
119	чем в	4	2
120	в ней	5	2
121	в его	14	2
122	как можно	2	2
123	и с	9	2
124	в целом	2	2
125	как не	2	2
126	значит что	6	2
127	что она	2	2
128	находится в	3	2
129	не на	2	2
130	между прочим	5	2
131	все эти	5	2
132	в какой	2	2
133	на самом	3	2
134	в году	10	2
135	а не	8	2
136	и для	3	2
137	тут же	5	2
138	в своих	7	2
139	хотя и	7	2
140	на себя	2	2
141	это время	2	2
142	и здесь	6	2
143	но в	4	2
144	ничего общего	5	2
145	мы должны	4	2
146	которые можно	2	2
147	еще до	2	2
148	же не	2	2
