N	2gram	Tiupa_Hudo_1	StatiiOP
1	и в	19	44
2	в том	18	36
3	что в	6	30
4	том что	8	29
5	в этом	11	21
6	вовсе не	2	19
7	то что	4	18
8	не только	16	18
9	а в	12	17
10	о том	2	17
11	и не	15	16
12	а не	9	16
13	может быть	14	15
14	в данном	4	14
15	в области	6	14
16	как в	2	13
17	не в	7	12
18	в тексте	9	12
19	в этой	2	11
20	того чтобы	2	11
21	я думаю	2	11
22	точки зрения	10	11
23	для того	2	10
24	что он	3	10
25	но и	10	10
26	но в	7	10
27	только в	5	10
28	в отношении	3	9
29	с другой	7	9
30	если бы	3	9
31	в то	6	9
32	как и	2	9
33	того что	4	9
34	так и	11	9
35	в его	9	9
36	например в	3	8
37	во всех	3	8
38	не может	7	8
39	и его	12	8
40	это не	2	8
41	с точки	3	8
42	я не	2	7
43	прежде всего	4	7
44	в самом	5	7
45	другой стороны	5	7
46	таким образом	3	7
47	сказать что	4	7
48	потому что	3	6
49	из этих	3	6
50	для него	4	6
51	что и	2	6
52	в своей	5	6
53	со стороны	2	6
54	именно в	2	6
55	в той	3	6
56	не менее	3	5
57	никогда не	2	5
58	текста в	3	5
59	была бы	3	5
60	так же	2	5
61	в нем	5	5
62	в целом	3	5
63	все это	2	5
64	то же	10	5
65	и по	2	5
66	в слове	3	5
67	и то	4	5
68	могут быть	4	5
69	все эти	2	5
70	в частности	13	4
71	что она	2	4
72	или иного	3	4
73	в ее	5	4
74	же время	5	4
75	и что	3	4
76	в качестве	24	4
77	никто не	2	4
78	того или	3	4
79	как раз	3	4
80	как бы	9	4
81	дело не	2	4
82	заключается в	2	4
83	во втором	4	4
84	как это	5	4
85	в которой	2	4
86	к которому	4	4
87	в основе	4	3
88	а с	2	3
89	тому что	2	3
90	для себя	2	3
91	в какой	2	3
92	в словаре	2	3
93	не является	4	3
94	этих двух	2	3
95	ни в	5	3
96	об этом	2	3
97	то в	2	3
98	но не	11	3
99	а на	5	3
100	того же	2	3
101	еще не	3	3
102	или иным	3	3
103	своего рода	5	3
104	и для	2	3
105	даже в	3	3
106	не все	2	3
107	и тем	2	3
108	отношению к	9	3
109	а именно	2	3
110	по отношению	9	3
111	с одной	2	3
112	лишь в	4	3
113	говорит что	2	3
114	в чем	2	3
115	как к	2	3
116	культуры в	2	3
117	в каком	2	3
118	в другом	3	3
119	между тем	4	3
120	истории литературы	2	2
121	том числе	2	2
122	оказывается в	3	2
123	из которого	4	2
124	втором случае	2	2
125	в этих	3	2
126	в своем	2	2
127	превращается в	2	2
128	имеем дело	2	2
129	всякий раз	2	2
130	и более	2	2
131	наших глазах	2	2
132	есть в	2	2
133	при этом	13	2
134	говорит в	2	2
135	быть и	2	2
136	случае не	2	2
137	пушкина что	2	2
138	одной стороны	2	2
139	в сторону	2	2
140	за пределы	2	2
141	совпадает с	2	2
142	и потому	2	2
143	а также	5	2
144	этого слова	2	2
145	я с	5	2
146	тем не	3	2
147	отношение к	5	2
148	такого рода	10	2
149	отношения к	2	2
150	вытекает из	2	2
151	начиная с	2	2
152	тем самым	4	2
153	так или	3	2
154	он должен	3	2
155	или иначе	4	2
156	не знает	3	2
157	их в	3	2
158	одно из	2	2
159	он не	4	2
160	но он	3	2
161	в себе	9	2
162	говорить о	3	2
163	по своей	7	2
164	как правило	2	2
165	в равной	2	2
166	его в	2	2
167	и это	2	2
168	к нему	3	2
169	мы имеем	6	2
170	то есть	18	2
