N	2gram	Berdyaev_M_1	KulturaY
1	т е	2	32
2	и в	28	23
3	точки зрения	4	23
4	в том	6	22
5	не только	29	17
6	было бы	10	16
7	в этом	20	16
8	может быть	30	14
9	что в	10	13
10	в самом	11	13
11	для того	2	12
12	потому что	16	12
13	вопрос о	2	11
14	том что	3	11
15	а не	25	11
16	того что	7	11
17	в его	9	11
18	того чтобы	2	11
19	у нас	5	10
20	и не	11	10
21	прежде всего	10	9
22	хотя бы	3	9
23	так как	3	9
24	если бы	2	8
25	лишь в	6	8
26	до сих	2	8
27	сих пор	2	8
28	уже не	4	8
29	в виду	2	8
30	и что	2	7
31	должно быть	3	7
32	сказать что	2	7
33	все эти	2	7
34	с тем	9	6
35	что и	4	6
36	что он	10	6
37	в их	4	6
38	не может	28	6
39	могут быть	2	6
40	только в	6	6
41	о том	2	6
42	ничего не	3	6
43	не могут	5	5
44	и есть	14	5
45	как и	5	5
46	не в	16	5
47	как бы	2	5
48	не значит	2	5
49	все же	2	5
50	а в	4	5
51	также и	2	5
52	тем что	4	5
53	один из	4	4
54	для нас	3	4
55	в своей	15	4
56	в ее	3	4
57	то что	5	4
58	как в	2	4
59	в своем	10	4
60	не было	18	4
61	в той	2	4
62	уже в	4	3
63	это не	5	3
64	должна быть	6	3
65	есть не	4	3
66	xix века	4	3
67	к тому	3	3
68	и к	2	3
69	с этой	4	3
70	это и	4	3
71	но не	8	3
72	он не	24	3
73	но если	3	3
74	был бы	10	3
75	не есть	9	3
76	отношение к	4	3
77	но и	25	3
78	по отношению	2	3
79	и вот	3	3
80	в ней	15	3
81	я хочу	3	3
82	не имеет	3	3
83	не так	3	3
84	и с	3	3
85	бы и	3	3
86	в которых	4	3
87	в каком	2	3
88	в то	2	3
89	она не	4	3
90	бы не	2	3
91	когда мы	2	3
92	учение о	3	2
93	одно только	2	2
94	все это	6	2
95	о чем	2	2
96	на том	3	2
97	не как	4	2
98	и я	5	2
99	и как	2	2
100	чем в	2	2
101	по своему	2	2
102	смысле слова	4	2
103	конечно не	3	2
104	мог бы	4	2
105	за пределы	4	2
106	увидим что	4	2
107	в котором	8	2
108	его в	3	2
109	не все	2	2
110	есть также	2	2
111	отношению к	2	2
112	когда он	3	2
113	вместе с	6	2
114	мысли и	2	2
115	в свете	3	2
116	отличается от	2	2
117	и самый	2	2
118	что есть	5	2
119	быть не	2	2
120	чтобы не	2	2
121	на этот	2	2
122	и нужно	2	2
123	не знает	4	2
124	он в	2	2
125	эти слова	2	2
126	на протяжении	2	2
127	на этом	3	2
128	как он	2	2
129	в этих	4	2
130	в россии	2	2
131	относится к	2	2
132	она может	2	2
133	но в	7	2
