N	2gram	Trubetskoy_1	Komedia
1	и в	14	26
2	и не	19	14
3	к тому	7	12
4	в том	17	11
5	может быть	9	11
6	но и	10	10
7	в этом	17	10
8	что в	4	9
9	том что	9	9
10	если бы	6	9
11	вместе с	4	9
12	ясно что	2	8
13	было бы	5	8
14	и на	5	7
15	из них	3	7
16	не только	9	7
17	что и	3	7
18	на себя	2	7
19	в своем	6	6
20	во время	2	6
21	то что	13	6
22	еще не	3	6
23	в нем	5	6
24	того чтобы	8	6
25	потому что	5	6
26	в то	10	6
27	о том	7	6
28	таким образом	11	6
29	с тем	6	5
30	что он	6	5
31	в качестве	3	5
32	ни в	2	5
33	на основании	2	5
34	с этим	2	5
35	для того	6	5
36	так что	2	5
37	и с	7	5
38	больше чем	2	5
39	место в	2	4
40	в частности	2	4
41	у него	2	4
42	в этих	2	4
43	тому что	2	4
44	и от	2	4
45	прежде всего	8	4
46	из этих	3	4
47	как и	4	4
48	как будто	2	4
49	одной из	3	4
50	в его	4	4
51	все же	4	4
52	в самом	3	4
53	в последние	5	4
54	и для	6	4
55	за то	2	4
56	что для	3	4
57	можно было	4	4
58	точки зрения	11	4
59	в начале	2	4
60	только в	5	4
61	что это	3	4
62	так как	4	4
63	его в	4	4
64	между тем	5	4
65	для всех	6	3
66	представить себе	2	3
67	вопрос о	5	3
68	но если	3	3
69	жизни и	4	3
70	связи с	3	3
71	но не	4	3
72	во всех	5	3
73	же время	10	3
74	для нас	2	3
75	из которых	5	3
76	да и	3	3
77	в ней	2	3
78	в котором	2	3
79	речь идет	2	3
80	себя в	4	3
81	друг другу	2	3
82	в своей	5	3
83	даже не	2	3
84	в их	4	3
85	все это	6	3
86	по отношению	2	3
87	то же	11	3
88	не было	3	3
89	надо признать	3	3
90	к нему	2	3
91	друг друга	3	3
92	обеих сторон	2	3
93	а в	5	3
94	или в	3	3
95	тем что	3	3
96	не может	22	3
97	в этой	4	3
98	но в	2	3
99	в положение	2	3
100	мы можем	2	3
101	если в	6	2
102	и есть	2	2
103	отнюдь не	7	2
104	то ни	4	2
105	признать что	6	2
106	в конце	3	2
107	то это	3	2
108	и к	6	2
109	не в	4	2
110	до сих	5	2
111	в силу	2	2
112	является не	2	2
113	одна из	3	2
114	бы то	4	2
115	и если	7	2
116	ни одна	3	2
117	от того	4	2
118	он не	5	2
119	друг с	14	2
120	как бы	4	2
121	всяком случае	6	2
122	хотя бы	5	2
123	и т	3	2
124	в мире	4	2
125	сих пор	5	2
126	со стороны	4	2
127	целый ряд	2	2
128	если не	2	2
129	в течение	2	2
130	и что	2	2
131	в других	2	2
132	в глазах	2	2
133	во всяком	9	2
134	и во	3	2
135	говорить о	3	2
136	с другом	14	2
137	на это	2	2
138	из этого	3	2
139	пути к	2	2
140	у других	2	2
