N	2gram	Losev_Dial_4	Stilisti
1	и в	15	42
2	как бы	14	27
3	не только	8	27
4	прежде всего	11	22
5	хотя бы	4	17
6	но и	4	15
7	то же	9	15
8	и не	30	14
9	может быть	17	12
10	не может	11	12
11	точки зрения	14	11
12	как и	7	11
13	мы уже	3	11
14	и как	4	10
15	что мы	7	10
16	мы должны	4	10
17	отнюдь не	4	10
18	в этом	11	10
19	при этом	2	9
20	в то	6	9
21	то что	16	9
22	для того	5	9
23	мы не	9	9
24	все же	2	8
25	в ней	5	8
26	таким образом	5	8
27	с тем	4	8
28	что же	2	8
29	тем самым	3	8
30	в себе	8	8
31	и это	8	8
32	никогда не	2	7
33	же время	6	7
34	и тем	6	7
35	и на	5	7
36	потому что	10	7
37	так как	14	7
38	с его	5	7
39	было бы	9	7
40	а не	18	7
41	того чтобы	5	7
42	и его	7	7
43	мы можем	3	7
44	только в	7	7
45	в которой	2	7
46	ничего не	17	7
47	другими словами	5	6
48	мы будем	2	6
49	не в	8	6
50	в этой	4	6
51	в свою	3	6
52	и так	2	6
53	в нем	5	6
54	во всех	2	6
55	так и	5	6
56	в области	3	6
57	и той	3	5
58	и следовательно	3	5
59	и их	2	5
60	и с	4	5
61	и наконец	3	5
62	того или	2	5
63	как это	2	5
64	в его	4	5
65	вместе с	2	5
66	с точки	9	5
67	той же	5	5
68	что это	13	4
69	и без	2	4
70	не просто	7	4
71	что именно	7	4
72	можно сказать	5	4
73	но все	2	4
74	свою очередь	2	4
75	в качестве	2	4
76	в самом	2	4
77	той или	4	4
78	один из	4	4
79	в словах	3	4
80	все это	9	4
81	того что	13	4
82	так же	4	4
83	о том	5	4
84	бы в	4	4
85	но в	3	4
86	если бы	6	4
87	не что	8	4
88	или иную	2	4
89	у нас	3	4
90	мы видим	4	4
91	ту или	2	4
92	себя в	2	4
93	если мы	5	4
94	к своему	2	4
95	уже не	9	4
96	и пр	9	4
97	и то	3	4
98	как только	5	3
99	в разных	2	3
100	или иное	3	3
101	перед нами	6	3
102	это не	12	3
103	главным образом	2	3
104	как таковой	5	3
105	но что	5	3
106	и само	2	3
107	не мог	2	3
108	но для	2	3
109	хотя и	6	3
110	в котором	2	3
111	не имеем	2	3
112	и уже	4	3
113	из них	2	3
114	жизни и	4	3
115	от того	2	3
116	что оно	7	3
117	и вот	11	3
118	лишь в	2	3
119	и даже	6	3
120	сказать что	6	3
121	необходимо чтобы	2	3
122	ни на	6	3
123	та же	3	3
124	в виду	9	3
125	что было	2	3
126	и все	11	3
127	в одном	4	3
128	об этом	3	3
129	в ее	2	3
130	том что	10	3
131	еще не	4	3
132	конечно не	2	3
133	тех или	4	3
134	нет и	2	3
135	что и	6	3
136	не будет	2	3
137	отношения к	3	3
138	да и	2	3
139	и слово	2	3
140	что такое	5	3
141	и для	5	3
142	то или	3	3
143	то мы	3	3
144	бы и	3	2
145	мы имели	3	2
146	в частности	2	2
147	иное как	8	2
148	человека и	2	2
149	не всегда	3	2
150	как одно	2	2
151	вопрос о	2	2
152	не нужно	2	2
153	в том	11	2
154	но это	4	2
155	и нет	3	2
156	себе и	2	2
157	но мы	2	2
158	не говоря	3	2
159	в отношении	2	2
160	не было	2	2
161	все эти	3	2
162	попробуем теперь	2	2
163	должно быть	2	2
164	также и	4	2
165	даже и	3	2
166	что иное	8	2
167	нет ничего	6	2
168	будет иметь	2	2
169	и ни	2	2
170	мы имеем	5	2
171	в жизни	5	2
172	в основе	10	2
173	нашего исследования	2	2
174	для всех	3	2
175	однако в	2	2
176	от чего	2	2
177	с этим	3	2
178	к этому	3	2
179	ясно что	11	2
180	что он	7	2
181	есть не	5	2
182	видим что	4	2
183	при условии	2	2
184	только тогда	5	2
185	только потому	3	2
186	и при	2	2
187	равно как	2	2
188	ни один	2	2
189	одной из	2	2
190	как таковое	3	2
191	и когда	2	2
192	и потому	3	2
193	не есть	40	2
194	как не	2	2
195	в своей	3	2
196	природы и	2	2
197	как в	3	2
198	как нечто	2	2
199	бы не	2	2
200	одной и	3	2
201	допустим что	2	2
202	из которых	3	2
203	с ним	3	2
204	да еще	2	2
205	или в	7	2
206	тем что	2	2
207	в каком	5	2
208	и вообще	7	2
