N	2gram	Savitsky_P_1	KulturaY
1	и т	3	54
2	т е	3	32
3	и в	14	23
4	точки зрения	3	23
5	в том	9	22
6	не только	17	17
7	было бы	6	16
8	в этом	10	16
9	с точки	3	16
10	в области	11	14
11	может быть	5	14
12	что в	4	13
13	не менее	2	12
14	для того	3	12
15	потому что	3	12
16	том что	4	11
17	а не	2	11
18	того что	2	11
19	в его	2	11
20	и не	12	10
21	прежде всего	3	9
22	хотя бы	8	9
23	если бы	4	8
24	между прочим	2	8
25	как на	2	8
26	с другой	5	7
27	должно быть	2	7
28	с тем	3	6
29	по себе	4	6
30	в силу	2	6
31	тот же	3	6
32	и тем	2	6
33	не может	4	6
34	то же	9	6
35	в общем	2	6
36	могут быть	3	6
37	говорить о	2	6
38	только в	7	6
39	и есть	2	5
40	но также	4	5
41	не в	5	5
42	хотя и	3	5
43	как бы	4	5
44	не будем	2	5
45	а в	4	5
46	тем более	2	5
47	а также	4	4
48	для нас	2	4
49	одной стороны	3	4
50	столь же	3	4
51	и о	5	4
52	в ее	2	4
53	то что	4	4
54	как раз	2	4
55	в своем	4	4
56	не было	2	4
57	с одной	3	4
58	заключается в	3	4
59	тем самым	3	4
60	не столько	2	4
61	между тем	3	4
62	отнюдь не	2	3
63	это не	3	3
64	именно в	2	3
65	есть не	2	3
66	xix века	6	3
67	и к	4	3
68	в отношении	10	3
69	но не	3	3
70	время в	2	3
71	но и	6	3
72	и вот	2	3
73	мы не	3	3
74	в ней	6	3
75	и пр	5	3
76	в ряду	2	3
77	и с	2	3
78	в которых	5	3
79	в то	7	3
80	мы должны	4	3
81	я и	3	3
82	том числе	2	2
83	все это	2	2
84	в частности	2	2
85	главным образом	2	2
86	точек зрения	2	2
87	и как	3	2
88	большей степени	4	2
89	и если	4	2
90	в качестве	9	2
91	в статье	2	2
92	она есть	3	2
93	никак не	2	2
94	не о	2	2
95	в котором	4	2
96	в пределах	8	2
97	потому в	2	2
98	и без	3	2
99	еще более	2	2
100	более чем	2	2
101	которое в	2	2
102	что мы	3	2
103	в русском	2	2
104	в россии	3	2
105	но в	9	2
