N	2gram	Tiupa_Vved_1	StatiiOP
1	и в	13	29
2	том что	7	27
3	в том	10	27
4	в этом	21	21
5	но и	19	19
6	что в	3	19
7	не только	20	19
8	о том	5	17
9	в его	4	13
10	то что	6	11
11	к тому	6	10
12	таким образом	4	10
13	в своем	5	9
14	так и	8	9
15	этом отношении	4	9
16	и не	12	9
17	потому что	5	9
18	он не	3	9
19	по поводу	2	8
20	как раз	2	8
21	но в	6	8
22	в самом	2	7
23	в ней	4	7
24	в котором	8	7
25	в своей	5	7
26	не столько	4	7
27	об этом	4	6
28	одним из	5	6
29	все же	6	6
30	и его	5	6
31	и на	3	6
32	о чем	2	5
33	прежде всего	7	5
34	в той	4	5
35	в качестве	8	5
36	было бы	4	5
37	как бы	4	5
38	своего рода	10	5
39	а не	15	5
40	того что	6	5
41	времени и	7	4
42	в частности	13	4
43	с другой	5	4
44	к этому	2	4
45	в романе	6	4
46	не в	6	4
47	для него	3	4
48	и к	2	4
49	хотя и	7	4
50	в нем	5	4
51	внимание на	3	4
52	в речи	2	4
53	действующих лиц	2	4
54	и с	2	4
55	но также	2	4
56	не менее	4	3
57	в этих	3	3
58	не является	3	3
59	по себе	2	3
60	что на	2	3
61	тому же	4	3
62	но это	3	3
63	в начале	3	3
64	но не	5	3
65	до конца	3	3
66	например в	2	3
67	никогда не	4	3
68	не могло	2	3
69	другой стороны	2	3
70	самом деле	3	3
71	подчеркнуть что	5	3
72	как в	4	3
73	а с	2	3
74	не было	2	3
75	тем что	2	3
76	на самом	4	3
77	и по	3	3
78	не сумел	2	3
79	но они	2	2
80	и более	3	2
81	если бы	7	2
82	в них	2	2
83	в какой	4	2
84	в одной	2	2
85	той мере	2	2
86	что и	2	2
87	тем не	3	2
88	как и	11	2
89	в то	4	2
90	по своему	2	2
91	такого рода	16	2
92	может быть	18	2
93	никак не	2	2
94	а также	8	2
95	еще в	2	2
96	только в	6	2
97	не к	4	2
98	также и	4	2
99	со стороны	5	2
100	или менее	2	2
101	письма к	2	2
102	не может	7	2
103	тогда как	10	2
104	то же	5	2
105	при этом	26	2
106	в отличие	2	2
107	более или	2	2
108	что такое	18	2
109	не имеет	2	2
110	а к	3	2
111	в данном	13	2
112	в результате	3	2
113	мере в	2	2
114	это время	2	2
115	в себе	5	2
116	как он	2	2
117	отличие от	2	2
118	в области	3	2
