N	2gram	Savitsky_P_1	Komedia
1	и в	14	26
2	и не	12	14
3	в том	9	11
4	может быть	5	11
5	но и	6	10
6	в этом	10	10
7	что в	4	9
8	столь же	3	9
9	том что	4	9
10	если бы	4	9
11	было бы	6	8
12	из них	2	7
13	не только	17	7
14	в своем	4	6
15	то что	4	6
16	наряду с	3	6
17	в нем	3	6
18	iii в	2	6
19	потому что	3	6
20	в то	7	6
21	с тем	3	5
22	в качестве	9	5
23	с этим	2	5
24	для того	3	5
25	и с	2	5
26	г и	2	5
27	не менее	2	4
28	в частности	2	4
29	в них	2	4
30	прежде всего	3	4
31	же в	4	4
32	хотя и	3	4
33	в его	2	4
34	ii в	2	4
35	в последние	2	4
36	более чем	2	4
37	точки зрения	3	4
38	в начале	2	4
39	только в	7	4
40	между тем	3	4
41	том числе	2	3
42	но не	3	3
43	во всех	2	3
44	же время	7	3
45	для нас	2	3
46	например в	2	3
47	да и	2	3
48	в ней	6	3
49	в котором	4	3
50	друг другу	2	3
51	все это	2	3
52	то же	9	3
53	не было	2	3
54	а в	4	3
55	не может	4	3
56	но в	9	3
57	если в	2	2
58	и есть	2	2
59	отнюдь не	2	2
60	с другой	5	2
61	это не	3	2
62	и к	4	2
63	в ее	2	2
64	не в	5	2
65	в силу	2	2
66	одна из	2	2
67	тот же	3	2
68	одной стороны	3	2
69	и если	4	2
70	вслед за	3	2
71	что из	2	2
72	как бы	4	2
73	хотя бы	8	2
74	и т	3	2
75	и это	2	2
76	в мире	2	2
77	со стороны	2	2
78	с одной	3	2
79	еще более	2	2
80	одних и	2	2
81	мы не	3	2
82	с ними	3	2
83	на пути	4	2
84	теперь в	2	2
85	говорить о	2	2
