N	2gram	Bakhtin_fo_2	Problemy
1	и не	9	31
2	и в	46	29
3	в его	8	24
4	может быть	7	24
5	а не	4	22
6	в этом	22	22
7	как бы	10	19
8	в нем	5	19
9	точки зрения	10	19
10	для него	3	18
11	не только	11	15
12	то что	7	15
13	но и	9	14
14	и его	12	14
15	то же	8	14
16	рядом с	2	14
17	в пределах	5	13
18	уже не	3	13
19	с точки	8	13
20	как и	8	12
21	точка зрения	3	12
22	не может	2	12
23	таким образом	3	12
24	в одном	7	10
25	в то	5	10
26	только в	11	10
27	видения и	2	10
28	там где	2	10
29	это не	2	9
30	все же	6	9
31	в романе	13	9
32	но не	5	9
33	же время	4	9
34	все эти	5	9
35	в своем	5	8
36	до конца	2	8
37	по себе	2	8
38	что он	3	8
39	что в	5	8
40	потому что	8	8
41	в том	10	8
42	прежде всего	14	7
43	вовсе не	13	7
44	том что	4	7
45	не в	9	7
46	она не	2	7
47	так и	7	7
48	в форме	3	7
49	и как	3	7
50	а в	3	7
51	и на	7	7
52	в себе	4	7
53	мира и	9	7
54	но в	10	7
55	все это	6	6
56	в одной	2	6
57	в конце	2	6
58	как в	4	6
59	в самой	2	6
60	в мире	4	6
61	так же	2	6
62	могут быть	2	6
63	в разрезе	5	6
64	этого мира	2	6
65	его в	6	6
66	и потому	2	6
67	так как	6	6
68	и др	5	5
69	именно в	2	5
70	было бы	2	5
71	еще не	6	5
72	в сущности	2	5
73	дело идет	2	5
74	и о	2	5
75	у него	9	5
76	он не	5	5
77	во всяком	2	5
78	автора и	2	5
79	и это	2	5
80	с ним	4	5
81	мира в	3	5
82	перестает быть	2	4
83	в плоскости	2	4
84	что было	3	4
85	в литературе	2	4
86	что и	3	4
87	но это	2	4
88	и с	6	4
89	не на	3	4
90	и т	14	4
91	и для	9	4
92	не было	3	4
93	тем что	3	4
94	но эта	2	4
95	как мы	6	4
96	и наконец	6	4
97	должно быть	5	4
98	их в	4	4
99	в основе	6	4
100	в этой	2	4
101	человека в	6	4
102	так сказать	7	4
103	уже в	4	3
104	никогда не	6	3
105	дано в	2	3
106	в них	7	3
107	сами по	2	3
108	с другой	2	3
109	в пространстве	5	3
110	романа в	2	3
111	все в	2	3
112	по существу	5	3
113	все что	2	3
114	кроме того	3	3
115	и пр	2	3
116	в уста	2	3
117	дана как	2	3
118	в духе	2	3
119	и до	2	3
120	в их	3	3
121	во времени	3	3
122	как на	2	3
123	мир в	4	3
124	т п	11	3
125	на котором	2	3
126	этом отношении	2	3
127	себе самому	3	3
128	в себя	2	3
129	и у	5	3
130	героев и	4	3
131	этот мир	2	3
132	не знает	2	3
133	далеко не	2	3
134	и самое	4	3
135	отношения к	4	3
136	все его	4	3
137	всех этих	7	2
138	связи с	8	2
139	себя и	3	2
140	друг другу	2	2
141	с этой	4	2
142	и во	6	2
143	и от	2	2
144	те же	6	2
145	и к	2	2
146	жизни и	8	2
147	же в	4	2
148	следовательно и	3	2
149	так что	4	2
150	мы видим	2	2
151	при этом	6	2
152	есть и	4	2
153	и идеи	3	2
154	тот же	3	2
155	со своими	2	2
156	отсюда и	2	2
157	друг с	4	2
158	жизни а	2	2
159	конечно не	4	2
160	рядом и	2	2
161	пределах отдельных	2	2
162	наконец в	2	2
163	разрезе одного	2	2
164	до сих	2	2
165	в котором	4	2
166	один из	2	2
167	как можно	3	2
168	в большинстве	3	2
169	по ту	2	2
170	отношение к	3	2
171	сих пор	2	2
172	но эти	3	2
173	мы уже	9	2
174	находится в	2	2
175	в отношении	2	2
176	и даже	3	2
177	в той	2	2
178	здесь мы	3	2
179	в смысле	5	2
180	к себе	4	2
181	между ними	2	2
182	для других	3	2
183	в данном	2	2
184	в которых	3	2
185	но он	2	2
186	самим собою	2	2
187	и есть	2	2
188	в истории	4	2
189	во все	2	2
190	большинстве случаев	3	2
191	с этим	5	2
