N	2gram	Bakhtin_Fr_4	KFilosof
1	может быть	2	43
2	в его	8	39
3	в нем	5	31
4	не может	2	27
5	и не	16	26
6	и в	29	22
7	в котором	2	21
8	в себе	3	21
9	в ее	3	17
10	и его	8	17
11	только в	2	16
12	точки зрения	4	13
13	в этом	11	13
14	ни в	2	12
15	но не	2	12
16	и это	2	12
17	все эти	9	11
18	в своей	5	11
19	к нему	3	11
20	в своем	3	10
21	это не	5	10
22	все это	4	10
23	с точки	2	10
24	и есть	4	9
25	но и	9	9
26	в их	2	9
27	как бы	8	9
28	и все	13	9
29	и для	2	9
30	мир в	2	8
31	жизни и	4	8
32	со стороны	2	8
33	и здесь	3	7
34	вовсе не	9	7
35	конечно не	4	7
36	то что	4	7
37	себя в	2	7
38	в себя	2	7
39	в том	7	6
40	но это	4	6
41	и их	3	6
42	он не	3	6
43	уже не	2	6
44	никогда не	2	5
45	то же	10	5
46	именно в	2	5
47	в основе	2	5
48	но как	3	5
49	его в	9	5
50	с ним	2	5
51	но в	12	5
52	жизни в	2	5
53	как и	12	5
54	что я	2	5
55	не только	10	5
56	все же	3	5
57	там где	3	5
58	времени и	2	4
59	место в	2	4
60	время и	2	4
61	при этом	3	4
62	в своих	2	4
63	с ними	3	4
64	мира и	4	4
65	том что	3	4
66	единая и	2	4
67	в чем	3	4
68	что это	5	3
69	до конца	5	3
70	в виду	2	3
71	того что	3	3
72	рядом с	5	3
73	где он	2	3
74	и на	11	3
75	в ней	3	3
76	в то	10	3
77	о том	2	3
78	но здесь	2	3
79	всех этих	3	3
80	но конечно	3	3
81	по своему	4	3
82	еще не	4	3
83	бы не	2	3
84	на самом	4	3
85	для того	3	3
86	тем что	4	3
87	здесь не	3	3
88	и этим	2	3
89	его и	2	2
90	прежде всего	8	2
91	его к	2	2
92	и как	3	2
93	соответствии с	2	2
94	на нем	2	2
95	же время	8	2
96	и мы	2	2
97	что значит	3	2
98	как к	3	2
99	и других	3	2
100	все остальные	3	2
101	он и	5	2
102	и под	2	2
103	весь мир	5	2
104	а как	2	2
105	с его	4	2
106	и то	2	2
107	в жизни	2	2
108	к этому	2	2
109	что он	4	2
110	в качестве	3	2
111	тот же	3	2
112	и тот	2	2
113	но этот	2	2
114	так и	11	2
115	как в	2	2
116	в ту	2	2
117	это и	5	2
118	мы здесь	2	2
119	того чтобы	3	2
120	и эта	2	2
121	жизнь и	4	2
122	в этой	13	2
123	один и	2	2
124	дело в	2	2
