N	2gram	Losev_Vlad_2	VelikijI
1	и не	18	20
2	и в	30	16
3	то что	20	9
4	так как	5	9
5	и потому	2	7
6	на земле	2	7
7	а не	7	7
8	не есть	4	6
9	хотя и	6	5
10	как бы	5	5
11	но и	8	5
12	все это	5	5
13	того что	5	5
14	и есть	2	4
15	и я	5	4
16	что он	13	4
17	в нем	4	4
18	как и	5	4
19	в котором	5	4
20	так и	5	4
21	что не	2	4
22	потому что	9	4
23	в этом	20	4
24	в ней	4	4
25	с богом	3	4
26	и все	7	4
27	в его	11	4
28	с его	4	3
29	если не	2	3
30	что в	12	3
31	в этих	4	3
32	в них	3	3
33	в конце	13	3
34	ни в	7	3
35	в том	18	3
36	не в	9	3
37	но это	4	3
38	что я	3	3
39	тот же	5	3
40	и мы	4	3
41	к тому	2	3
42	во всех	3	3
43	никогда не	7	3
44	то это	4	3
45	что и	3	3
46	людей в	2	3
47	жизни и	6	3
48	в своей	5	3
49	не было	10	3
50	и что	5	3
51	не имеет	2	3
52	хотя бы	3	3
53	и для	3	3
54	должно быть	3	3
55	их в	2	3
56	все эти	5	3
57	нет ничего	3	3
58	в чем	2	3
59	но в	8	3
60	с тем	2	2
61	его и	2	2
62	это не	2	2
63	прежде всего	6	2
64	на этих	3	2
65	для нас	7	2
66	да и	3	2
67	том что	12	2
68	а к	2	2
69	но не	3	2
70	это мы	5	2
71	конечно не	4	2
72	для него	9	2
73	и сам	2	2
74	того чтобы	2	2
75	уже на	3	2
76	и во	2	2
77	не только	12	2
78	не могли	3	2
79	мы не	2	2
80	уже не	3	2
81	его не	2	2
82	а в	11	2
83	с ним	5	2
84	можно было	2	2
85	и то	5	2
86	вера в	2	2
87	только в	6	2
88	и это	3	2
89	во всяком	6	2
90	не имел	2	2
