N	2gram	Tiupa_Hudo_1	VrazhdaK
1	не только	12	9
2	в этом	11	8
3	и что	2	8
4	и в	14	8
5	но и	5	7
6	что в	6	7
7	то что	8	7
8	и все	4	7
9	в нем	3	6
10	все же	3	6
11	и даже	3	6
12	как и	9	6
13	в начале	2	6
14	но в	5	6
15	и с	4	6
16	о нем	3	6
17	то же	9	5
18	не было	4	5
19	и не	2	5
20	у него	9	5
21	об этом	5	5
22	между тем	8	5
23	в то	8	5
24	же время	8	5
25	как бы	7	4
26	все это	2	4
27	это не	7	4
28	что он	9	4
29	с ним	4	4
30	в своих	3	4
31	может быть	5	4
32	при этом	12	4
33	несмотря на	4	4
34	о том	12	4
35	в ней	4	4
36	речь идет	3	3
37	с его	5	3
38	связи с	4	3
39	русской литературе	3	3
40	в своем	4	3
41	что у	3	3
42	эти слова	2	3
43	в связи	3	3
44	в конце	4	3
45	т е	4	3
46	матери и	2	3
47	человека в	6	3
48	на то	4	3
49	в том	12	3
50	раз в	2	3
51	и его	5	3
52	том что	16	3
53	к творчеству	2	3
54	тем что	3	3
55	в его	8	3
56	в русской	4	3
57	его в	3	3
58	но он	3	3
59	и о	4	3
60	он не	4	3
61	по нашему	2	3
62	а с	2	2
63	в своей	10	2
64	и а	5	2
65	и это	4	2
66	из них	4	2
67	не менее	5	2
68	никогда не	6	2
69	отнюдь не	3	2
70	столь же	4	2
71	как раз	4	2
72	так в	2	2
73	не может	7	2
74	по мнению	5	2
75	а в	7	2
76	тогда как	7	2
77	это в	3	2
78	там же	2	2
79	уже не	7	2
80	к себе	5	2
81	и он	5	2
82	мы знаем	2	2
83	с точки	3	2
84	же в	3	2
85	на основе	2	2
86	в глазах	6	2
87	этот момент	2	2
88	в этой	8	2
89	что я	2	2
90	же как	2	2
91	но как	2	2
92	точки зрения	5	2
93	в себе	11	2
94	для него	10	2
95	еще не	7	2
96	в это	2	2
97	м м	3	2
98	в мире	3	2
99	одна из	2	2
100	а также	3	2
101	в него	2	2
