N	2gram	Propp_Isto_1	Tragedij
1	и в	28	18
2	в этом	8	9
3	не только	12	8
4	и не	9	7
5	и на	4	7
6	и с	4	7
7	может быть	25	7
8	как бы	2	7
9	в образе	3	6
10	что он	10	6
11	и его	3	6
12	но в	8	6
13	все же	10	5
14	что это	8	5
15	так и	9	5
16	это не	7	5
17	не может	15	5
18	то же	12	5
19	в дальнейшем	5	5
20	как и	4	5
21	в то	3	5
22	но и	10	4
23	то что	9	4
24	в целом	2	4
25	что в	12	4
26	все это	4	4
27	я не	3	4
28	прежде всего	10	4
29	в нем	2	4
30	и даже	4	4
31	так же	7	4
32	том что	7	4
33	но это	4	4
34	в этой	6	4
35	и что	10	4
36	в себе	2	4
37	еще не	7	4
38	об этом	4	4
39	один из	4	3
40	в своем	5	3
41	никто не	2	3
42	как в	2	3
43	все эти	4	3
44	и он	3	3
45	и как	2	3
46	в основном	2	3
47	должно быть	2	3
48	в его	5	3
49	для него	2	3
50	при этом	3	3
51	своего отца	2	3
52	как будто	4	3
53	как это	3	3
54	с ним	2	3
55	еще в	2	2
56	перед нами	3	2
57	не могут	2	2
58	но они	2	2
59	что и	6	2
60	раз и	3	2
61	в частности	2	2
62	в отличие	2	2
63	то и	2	2
64	вопрос о	5	2
65	не просто	3	2
66	уже не	3	2
67	даже на	2	2
68	к тому	6	2
69	столь же	2	2
70	не так	2	2
71	и здесь	7	2
72	в ее	2	2
73	в том	9	2
74	говорит о	2	2
75	отличие от	2	2
76	но все	4	2
77	так что	4	2
78	не в	9	2
79	что этот	2	2
80	точно так	3	2
81	одна из	2	2
82	потому что	4	2
83	с тем	4	2
84	тем что	3	2
85	в виде	2	2
86	о том	9	2
87	его в	6	2
88	нет в	2	2
89	ничего не	2	2
90	он не	2	2
91	в одном	5	2
92	что она	5	2
93	никогда не	14	2
