N	2gram	Ircho_Kome_3	Formalny
1	т е	16	32
2	и не	21	30
3	вовсе не	4	28
4	и в	22	27
5	может быть	6	25
6	не может	3	24
7	так и	4	21
8	и его	6	19
9	таким образом	12	18
10	в этом	8	18
11	а не	4	17
12	точки зрения	4	16
13	самом деле	6	16
14	в нем	3	15
15	то же	7	15
16	между ними	2	15
17	как и	3	14
18	с точки	3	14
19	не в	4	12
20	если бы	8	12
21	в самом	9	11
22	и т	4	11
23	но и	4	10
24	не могут	2	10
25	так как	11	9
26	не только	5	9
27	так же	4	9
28	что в	5	8
29	ни в	10	8
30	при этом	7	8
31	в пределах	2	8
32	как бы	3	8
33	с помощью	4	8
34	отнюдь не	4	8
35	и все	2	8
36	то что	4	8
37	как раз	6	8
38	как мы	2	8
39	не менее	5	7
40	в том	12	7
41	же время	5	7
42	все это	5	7
43	потому что	10	7
44	в то	6	7
45	его в	8	7
46	между тем	2	7
47	с тем	4	7
48	совершенно не	2	7
49	в его	8	7
50	если мы	2	7
51	тем же	3	7
52	все время	2	6
53	с другой	4	6
54	всяком случае	3	6
55	здесь и	2	6
56	в своих	2	6
57	бы в	4	6
58	но в	5	6
59	что он	8	6
60	еще не	6	6
61	было бы	3	6
62	все же	4	6
63	в своей	5	6
64	хотя бы	4	6
65	и для	4	6
66	во всяком	3	6
67	и ее	2	6
68	вместе с	9	6
69	никогда не	3	5
70	ни было	2	5
71	что они	2	5
72	того чтобы	6	5
73	не является	4	5
74	друг друга	4	5
75	другой стороны	2	5
76	в ней	4	5
77	в результате	2	5
78	т п	4	5
79	тем что	5	5
80	связи с	5	5
81	если же	2	5
82	уже в	2	4
83	то ни	3	4
84	прежде всего	5	4
85	к тому	6	4
86	мы знаем	2	4
87	он был	4	4
88	до конца	4	4
89	для того	6	4
90	бы то	2	4
91	в целом	3	4
92	со стороны	11	4
93	в связи	4	4
94	о том	8	4
95	как это	5	4
96	мы можем	3	4
97	между собой	4	4
98	следует что	3	4
99	обстоит дело	2	4
100	в ее	3	4
101	том что	13	4
102	она не	2	4
103	конечно не	3	4
104	на ее	3	4
105	как в	2	4
106	роль в	2	4
107	мы не	2	4
108	из этого	2	4
109	тому что	2	3
110	в какой	3	3
111	столь же	3	3
112	это не	2	3
113	в конце	7	3
114	одним из	2	3
115	не о	3	3
116	в виду	2	3
117	в эпоху	2	3
118	по отношению	5	3
119	этом отношении	2	3
120	и что	6	3
121	в которых	5	3
122	и на	2	3
123	их в	3	3
124	и с	4	3
125	в основе	2	3
126	нуждается в	2	3
127	он и	2	3
128	в них	3	3
129	ясно что	6	3
130	того же	6	3
131	равно как	2	3
132	же самое	3	3
133	во всех	2	3
134	нет и	4	3
135	отношению к	3	3
136	дело с	3	3
137	иначе обстоит	2	3
138	в себе	4	3
139	сам он	2	2
140	а на	2	2
141	в отношении	4	2
142	человека и	2	2
143	его от	2	2
144	в этой	3	2
145	но если	3	2
146	известной степени	2	2
147	в котором	2	2
148	был бы	2	2
149	только один	2	2
150	полагать что	2	2
151	из них	5	2
152	дело не	2	2
153	от того	2	2
154	что она	4	2
155	в своем	8	2
156	отношения к	2	2
157	и даже	3	2
158	к одной	2	2
159	как он	3	2
160	конце концов	2	2
161	том как	3	2
162	что ни	3	2
163	с его	3	2
164	нисколько не	3	2
165	именно потому	2	2
166	однако в	4	2
167	и со	2	2
168	не как	2	2
169	и во	2	2
170	но при	2	2
171	к этому	6	2
172	нет никаких	2	2
173	стороны и	2	2
174	говорить о	3	2
175	одной из	3	2
176	в сущности	2	2
177	за пределы	2	2
178	должен быть	2	2
179	что и	8	2
180	тем не	3	2
181	и речи	4	2
182	бы не	2	2
183	человека в	2	2
184	в таком	2	2
185	они будут	2	2
186	и это	2	2
187	здесь не	2	2
188	отличие от	2	2
189	в области	2	2
190	ничего не	3	2
