N	2gram	Tiupa_Anal_1	Psycholo
1	и в	18	38
2	то что	6	35
3	в том	27	25
4	в самом	6	25
5	самом деле	2	21
6	что в	5	20
7	может быть	29	19
8	точки зрения	6	16
9	то есть	11	15
10	если бы	3	14
11	том что	12	14
12	как бы	5	14
13	и т	3	14
14	потому что	2	14
15	в этой	5	13
16	в этом	13	13
17	было бы	2	12
18	не только	15	12
19	таким образом	3	12
20	не в	14	12
21	что он	3	11
22	в сущности	6	10
23	то же	9	10
24	же самое	2	10
25	и не	21	10
26	и все	3	10
27	с точки	4	9
28	в двух	2	9
29	того чтобы	3	9
30	все же	4	8
31	вовсе не	2	8
32	как и	13	8
33	и как	5	8
34	для того	4	8
35	и то	2	8
36	с другой	4	7
37	а не	17	7
38	не может	22	7
39	как мы	2	7
40	может служить	2	7
41	а в	9	7
42	между тем	5	7
43	из них	2	6
44	к тому	7	6
45	один из	2	6
46	в котором	3	6
47	он не	3	6
48	с одной	3	6
49	так как	2	6
50	и его	5	6
51	и на	5	6
52	о том	5	6
53	в какой	2	5
54	на этом	2	5
55	одной стороны	3	5
56	несмотря на	2	5
57	иначе говоря	9	5
58	в своей	6	5
59	вместе с	4	5
60	но и	17	5
61	другой стороны	2	5
62	т п	3	5
63	в той	8	5
64	в другом	4	5
65	в его	13	5
66	могли бы	2	5
67	в которой	2	5
68	никогда не	2	4
69	обратиться к	3	4
70	при этом	12	4
71	в нем	3	4
72	что и	3	4
73	в целом	5	4
74	смысл и	3	4
75	все эти	2	4
76	при помощи	2	4
77	того что	4	4
78	из которых	4	4
79	только в	6	4
80	как будто	3	4
81	в себе	11	4
82	место в	3	3
83	только для	2	3
84	из этих	2	3
85	и к	3	3
86	ни в	4	3
87	она может	3	3
88	того же	4	3
89	и о	2	3
90	в основе	6	3
91	должен быть	6	3
92	не к	2	3
93	бы не	2	3
94	что не	3	3
95	всякий раз	3	3
96	что как	3	3
97	в таком	3	3
98	состоит в	11	3
99	далеко не	6	3
100	в то	9	3
101	могла бы	3	3
102	здесь не	2	3
103	едва ли	2	3
104	но в	8	3
105	одного из	2	2
106	в данном	2	2
107	не могут	3	2
108	и более	4	2
109	была бы	2	2
110	и та	2	2
111	отнюдь не	15	2
112	между собой	2	2
113	и одновременно	3	2
114	следует что	2	2
115	хотя бы	3	2
116	столь же	4	2
117	на самом	2	2
118	же мере	2	2
119	что именно	2	2
120	или не	2	2
121	уже не	4	2
122	в силу	3	2
123	такой же	2	2
124	перед собой	2	2
125	для него	2	2
126	от своего	2	2
127	совпадает с	2	2
128	для этого	2	2
129	он может	2	2
130	дело не	3	2
131	данном случае	2	2
132	со стороны	2	2
133	имеет место	5	2
134	что же	2	2
135	по выражению	2	2
136	не могу	2	2
137	отношения к	2	2
138	а с	3	2
139	быть не	3	2
140	не просто	2	2
141	не более	4	2
142	и по	2	2
143	думать что	2	2
144	той же	2	2
145	в качестве	31	2
146	автора и	3	2
147	все прочие	2	2
148	как к	2	2
149	представляет собой	16	2
150	его к	2	2
151	этого слова	7	2
152	представляют собой	2	2
153	на примере	2	2
154	с ним	4	2
155	для художественного	2	2
156	том и	2	2
