N	3gram	Vygotskiy__5	Problema
1	то же самое	4	9
2	для того чтобы	14	8
3	ничего общего с	2	7
4	о том что	4	5
5	в том что	11	5
6	сама по себе	4	4
7	то что он	2	3
8	с точки зрения	9	3
9	до сих пор	3	3
10	можно сказать что	5	3
11	с другой стороны	2	3
12	не только не	3	3
13	и того же	3	2
14	именно в этом	2	2
15	можно было бы	3	2
16	но если мы	2	2
17	так же как	7	2
18	в самом деле	2	2
19	то и другое	2	2
20	одного и того	3	2
21	в этом случае	3	2
22	подобно тому как	4	2
23	о том как	2	2
24	не может быть	3	2
25	и то что	2	2
26	мы можем говорить	2	2
