N	2gram	Berdyaev_M_2	KulturaY
1	т е	4	38
2	в том	3	30
3	и в	46	24
4	потому что	12	23
5	том что	4	21
6	что в	4	17
7	того чтобы	4	17
8	для того	5	16
9	в этом	20	14
10	точки зрения	2	14
11	может быть	21	13
12	в его	5	12
13	и не	18	12
14	не в	9	11
15	только в	3	11
16	в самом	5	10
17	у нас	11	10
18	не только	18	10
19	хотя бы	7	10
20	если бы	3	9
21	то что	5	9
22	прежде всего	12	9
23	отношению к	2	9
24	того что	6	9
25	о том	3	9
26	так как	8	9
27	по отношению	2	8
28	то же	5	8
29	уже не	4	8
30	а не	13	8
31	тем что	3	8
32	в них	3	7
33	связи с	2	7
34	как бы	8	7
35	вместе с	2	7
36	не может	15	7
37	это не	5	7
38	бы в	2	7
39	так и	4	7
40	тогда когда	2	6
41	что он	7	6
42	в ней	11	6
43	но и	15	6
44	что же	2	6
45	можно было	2	6
46	не случайно	2	6
47	в которой	2	6
48	что это	6	5
49	к тому	5	5
50	что не	2	5
51	и что	2	5
52	а в	2	5
53	и его	5	5
54	между тем	2	5
55	с ним	3	5
56	и с	3	5
57	с его	4	4
58	в этих	2	4
59	к себе	2	4
60	и потому	7	4
61	в нем	22	4
62	что они	3	4
63	есть в	3	4
64	это и	3	4
65	один из	5	4
66	должен быть	4	4
67	что и	4	4
68	не есть	13	4
69	сих пор	3	4
70	до сих	3	4
71	как в	7	4
72	и тогда	3	4
73	того как	3	4
74	стоит в	2	4
75	так что	2	4
76	так же	6	4
77	и на	3	4
78	в русском	4	4
79	уже в	2	3
80	для этого	4	3
81	в духе	5	3
82	или иной	2	3
83	в этой	7	3
84	в свою	4	3
85	мы увидим	2	3
86	связано с	3	3
87	и если	2	3
88	в сущности	2	3
89	не имеют	2	3
90	оно не	2	3
91	на его	2	3
92	что она	5	3
93	тому что	4	3
94	в своем	8	3
95	не было	11	3
96	только и	4	3
97	есть лишь	17	3
98	и он	11	3
99	должно быть	2	3
100	той же	3	3
101	и здесь	6	3
102	хотя и	2	3
103	себе в	2	3
104	они не	4	3
105	в себе	10	3
106	к которому	3	3
107	любовь к	8	2
108	я не	5	2
109	и есть	8	2
110	можно ли	3	2
111	никогда не	18	2
112	превращается в	2	2
113	и все	5	2
114	но с	2	2
115	что все	5	2
116	в каждом	3	2
117	же есть	3	2
118	не всегда	2	2
119	что было	3	2
120	вопрос о	6	2
121	по себе	2	2
122	к своему	2	2
123	как и	13	2
124	это есть	2	2
125	лишь как	3	2
126	тот же	2	2
127	было в	3	2
128	в своей	5	2
129	как то	2	2
130	чтобы получить	2	2
131	по преимуществу	5	2
132	же и	2	2
133	себе и	2	2
134	ее в	2	2
135	и против	3	2
136	к свету	2	2
137	ни в	3	2
138	были бы	2	2
139	бы и	5	2
140	он не	10	2
141	и для	7	2
142	в разных	2	2
143	все равно	3	2
144	не мог	3	2
145	лишь в	2	2
146	должны быть	4	2
147	не имеет	4	2
148	ни одного	2	2
149	увидим что	2	2
150	также и	4	2
151	иное как	3	2
152	в более	2	2
153	от этого	2	2
154	е в	2	2
155	до конца	4	2
156	и должно	3	2
157	ничего не	2	2
158	но в	10	2
159	любви к	7	2
