N	2gram	Bakhtin_fo_2	Psycholo
1	то что	7	37
2	и в	46	30
3	в том	10	27
4	что в	5	24
5	потому что	8	23
6	том что	4	21
7	для того	8	20
8	таким образом	3	20
9	того чтобы	8	20
10	как бы	10	19
11	что он	3	17
12	не только	11	16
13	в этом	22	14
14	так же	2	13
15	то есть	10	13
16	в сущности	2	12
17	вместе с	9	12
18	с одной	2	12
19	может быть	7	11
20	как на	2	11
21	о том	4	10
22	никогда не	6	9
23	с другой	2	9
24	не может	2	9
25	так как	6	9
26	с тем	2	8
27	мы имеем	2	8
28	к тому	3	8
29	не в	9	8
30	а не	4	8
31	при этом	6	8
32	того что	3	8
33	мы видим	2	8
34	могут быть	2	8
35	и это	2	8
36	по себе	2	7
37	в нем	5	7
38	и как	3	7
39	но не	5	7
40	все же	6	7
41	и т	14	7
42	то же	8	7
43	точки зрения	10	7
44	как это	2	7
45	в основе	6	7
46	уже в	4	6
47	в своем	5	6
48	именно в	2	6
49	как и	8	6
50	и для	9	6
51	но и	9	6
52	в совершенно	3	6
53	что все	2	6
54	и не	9	6
55	жизни и	8	6
56	и его	12	6
57	тем что	3	6
58	мы уже	9	6
59	на этом	2	6
60	и есть	2	5
61	как мы	6	5
62	и потому	2	5
63	в этой	2	5
64	что они	4	5
65	еще не	6	5
66	до сих	2	5
67	было бы	2	5
68	один из	2	5
69	сих пор	2	5
70	в двух	2	5
71	рядом с	2	5
72	о смерти	2	5
73	в себе	4	5
74	но в	10	5
75	только в	11	5
76	же самое	3	5
77	в частности	5	4
78	и все	6	4
79	прежде всего	14	4
80	у нас	2	4
81	и к	2	4
82	в его	8	4
83	в них	7	4
84	а в	3	4
85	там где	2	4
86	и совершенно	3	4
87	в конце	2	4
88	не могли	3	4
89	о чем	3	4
90	в виду	3	4
91	и другие	3	3
92	первый план	2	3
93	у него	9	3
94	это не	2	3
95	из этих	4	3
96	к этому	3	3
97	вовсе не	13	3
98	что на	3	3
99	так что	4	3
100	что здесь	2	3
101	для него	3	3
102	тот же	3	3
103	друг с	4	3
104	имеет место	3	3
105	он не	5	3
106	что и	3	3
107	так и	7	3
108	как в	4	3
109	в их	3	3
110	и только	2	3
111	т д	3	3
112	этом отношении	2	3
113	в той	2	3
114	и о	2	3
115	с другом	4	3
116	и наконец	6	3
117	тем же	2	3
118	целый ряд	3	3
119	человека в	6	3
120	но он	2	3
121	и на	7	3
122	в данном	2	3
123	т п	11	3
124	в другом	3	3
125	в этих	3	3
126	из самых	2	2
127	с этой	4	2
128	в отношении	2	2
129	связи с	8	2
130	себя и	3	2
131	не является	3	2
132	чем не	2	2
133	в одной	2	2
134	с этим	5	2
135	в одном	7	2
136	их не	2	2
137	или иной	2	2
138	с помощью	3	2
139	можно сказать	2	2
140	на первый	3	2
141	же в	4	2
142	этом случае	2	2
143	он был	2	2
144	до конца	2	2
145	а затем	3	2
146	в романе	13	2
147	по существу	5	2
148	утверждает что	2	2
149	того же	3	2
150	это значит	3	2
151	от друга	2	2
152	и та	2	2
153	в качестве	3	2
154	в котором	4	2
155	сами по	2	2
156	строго говоря	2	2
157	друг от	2	2
158	из них	8	2
159	для чего	2	2
160	во всех	11	2
161	быть и	2	2
162	и до	2	2
163	отношения к	4	2
164	в эпосе	2	2
165	в форме	3	2
166	находится в	2	2
167	все это	6	2
168	в себя	2	2
169	и вот	2	2
170	с точки	8	2
171	и даже	3	2
172	и он	4	2
173	между ними	2	2
174	должно быть	5	2
175	она еще	2	2
176	в которых	3	2
177	и с	6	2
178	и так	2	2
179	и самый	2	2
180	совсем не	2	2
181	в то	5	2
182	ту же	2	2
183	не знает	2	2
184	как он	2	2
185	все эти	5	2
186	смерти в	11	2
