N	2gram	Medvedev_U_1	Vvedenie
1	и в	14	32
2	в том	2	31
3	в этом	7	30
4	может быть	6	26
5	том что	2	26
6	не только	10	22
7	таким образом	2	19
8	то что	7	16
9	не может	7	14
10	в самом	2	13
11	в их	4	12
12	и не	8	12
13	в его	2	12
14	только в	2	12
15	что такое	4	11
16	но в	3	9
17	между тем	2	9
18	этом смысле	2	9
19	по себе	2	9
20	то же	5	9
21	с другой	4	8
22	это не	3	8
23	не в	2	8
24	прежде всего	8	7
25	смысле этого	2	7
26	но не	2	7
27	было бы	3	7
28	все же	3	7
29	самом деле	2	7
30	не могут	2	6
31	до сих	2	6
32	же время	3	6
33	но и	4	6
34	все это	5	6
35	в то	3	6
36	как и	3	6
37	сих пор	2	6
38	хотя бы	5	6
39	тем что	2	6
40	в широком	2	5
41	а как	2	5
42	другой стороны	3	5
43	одним из	2	5
44	не есть	2	5
45	а не	10	5
46	могут быть	2	5
47	о чем	2	4
48	этом отношении	2	4
49	даже и	2	4
50	по крайней	2	4
51	что он	2	4
52	крайней мере	2	4
53	в своей	3	4
54	как раз	2	4
55	и для	2	4
56	и то	3	4
57	в себе	2	4
58	и т.д	3	4
59	истории литературы	3	3
60	в частности	3	3
61	в конце	2	3
62	бы и	2	3
63	в этой	4	3
64	в конечном	4	3
65	именно как	2	3
66	что она	2	3
67	этой области	3	3
68	если бы	2	3
69	не как	3	3
70	материал для	2	3
71	что и	2	3
72	вот почему	7	3
73	в области	3	3
74	должна быть	2	2
75	это уже	2	2
76	для этого	3	2
77	но это	2	2
78	этого термина	2	2
79	не столько	2	2
80	не следует	3	2
81	и с	2	2
82	же самое	2	2
83	конце концов	2	2
84	художественных произведений	2	2
85	надо было	2	2
86	у нас	3	2
87	по существу	2	2
88	должна была	2	2
89	литературы и	2	2
90	что мы	2	2
91	вряд ли	3	2
92	мы не	2	2
93	ничего не	2	2
