N	2gram	Losev_Prob_1	VelikijI
1	и не	31	20
2	и в	32	16
3	то что	42	9
4	так как	11	9
5	еще не	9	8
6	в истории	4	8
7	что они	3	7
8	и потому	2	7
9	а не	15	7
10	не есть	29	6
11	хотя и	6	5
12	как бы	14	5
13	но и	9	5
14	все это	7	5
15	того что	7	5
16	на себя	2	5
17	и есть	6	4
18	что все	3	4
19	что он	7	4
20	в нем	13	4
21	как и	3	4
22	что мы	13	4
23	в котором	5	4
24	так и	12	4
25	мы хотим	3	4
26	что не	3	4
27	потому что	16	4
28	в этом	19	4
29	говорить о	6	4
30	и все	7	4
31	в его	6	4
32	с его	2	3
33	если не	4	3
34	что в	12	3
35	по этому	3	3
36	его во	2	3
37	в этих	3	3
38	в них	7	3
39	в конце	6	3
40	в жизни	3	3
41	ни в	7	3
42	в том	9	3
43	не в	4	3
44	но это	8	3
45	к тому	3	3
46	во всех	7	3
47	никогда не	7	3
48	оно не	3	3
49	в своей	8	3
50	тому что	4	3
51	не было	4	3
52	и что	9	3
53	не имеет	2	3
54	хотя бы	3	3
55	и для	4	3
56	должно быть	2	3
57	их в	4	3
58	все эти	8	3
59	нет ничего	10	3
60	в чем	3	3
61	но в	14	3
62	тот кто	2	2
63	что их	2	2
64	не могут	2	2
65	с тем	5	2
66	это не	6	2
67	прежде всего	10	2
68	для нас	5	2
69	да и	3	2
70	том что	12	2
71	мы и	4	2
72	но не	9	2
73	это мы	2	2
74	для него	2	2
75	для них	2	2
76	того чтобы	9	2
77	уже на	2	2
78	и во	3	2
79	не только	17	2
80	нет и	2	2
81	один из	4	2
82	и т	11	2
83	не будет	2	2
84	на том	4	2
85	ее в	2	2
86	т д	10	2
87	все равно	5	2
88	тем что	7	2
89	мы не	2	2
90	уже не	3	2
91	а есть	4	2
92	а в	4	2
93	с ним	3	2
94	можно было	3	2
95	и то	6	2
96	между тем	2	2
97	является в	2	2
98	могут быть	2	2
99	только в	7	2
100	и это	9	2
101	во всяком	7	2
102	которые не	3	2
