N	2gram	Bakhtin_sl_2	DiskursI
1	в себе	2	19
2	при этом	7	17
3	и в	39	16
4	может быть	37	16
5	как и	6	16
6	в этом	16	16
7	и не	22	15
8	а не	14	14
9	и т.п	2	12
10	в отличие	12	12
11	отличие от	13	12
12	то есть	26	12
13	но и	21	11
14	но в	6	11
15	том что	5	10
16	не только	24	10
17	так и	15	9
18	не может	20	9
19	в том	5	8
20	а также	3	8
21	как в	13	8
22	не менее	4	7
23	прежде всего	8	7
24	в нем	19	7
25	ни в	4	7
26	но не	6	7
27	в данном	2	7
28	с его	7	6
29	себя в	8	6
30	еще не	7	6
31	все же	6	6
32	то же	4	6
33	ни к	2	5
34	что в	3	5
35	в своем	6	5
36	с другой	5	5
37	в противовес	2	5
38	же время	4	5
39	для него	7	5
40	героя в	3	5
41	то что	2	5
42	и на	4	5
43	в то	4	5
44	в одном	2	4
45	к его	2	4
46	в пределах	13	4
47	одной стороны	5	4
48	как бы	7	4
49	отношению к	4	4
50	по отношению	4	4
51	этом отношении	3	4
52	с одной	5	4
53	человека в	5	4
54	роль в	2	4
55	в основе	4	4
56	точки зрения	8	4
57	о том	2	4
58	мира и	5	4
59	перед нами	3	3
60	жизни в	2	3
61	могут быть	7	3
62	в этих	7	3
63	в них	6	3
64	это не	5	3
65	не столько	3	3
66	и все	5	3
67	или иной	5	3
68	уже не	5	3
69	и как	3	3
70	не в	9	3
71	своего и	2	3
72	здесь в	3	3
73	в контексте	3	3
74	например в	5	3
75	он не	2	3
76	той или	5	3
77	в его	7	3
78	жизни и	6	3
79	но она	2	3
80	не было	2	3
81	все эти	6	3
82	и наконец	5	3
83	также и	2	3
84	и его	33	3
85	но это	3	3
86	в другом	2	3
87	не знает	2	3
88	только в	5	3
89	его в	4	3
90	на роль	2	2
91	никогда не	7	2
92	этого жанра	2	2
93	и чужого	2	2
94	в большинстве	6	2
95	как уже	2	2
96	этом случае	6	2
97	с таким	2	2
98	стороны и	3	2
99	в той	4	2
100	что он	2	2
101	должна быть	3	2
102	отношение к	4	2
103	с их	3	2
104	из важнейших	2	2
105	со своим	9	2
106	в ней	3	2
107	далеко не	2	2
108	на почве	4	2
109	жанра но	2	2
110	не с	3	2
111	что и	3	2
112	с ее	2	2
113	с точки	3	2
114	слова не	4	2
115	лежит на	2	2
116	вместе с	2	2
117	в языке	2	2
118	входит в	4	2
119	может и	2	2
120	именно в	2	2
121	чем не	2	2
122	в себя	2	2
123	к своему	9	2
124	все это	16	2
125	романа и	5	2
126	и для	5	2
127	а в	4	2
128	той же	3	2
129	в результате	2	2
130	и с	9	2
131	может иметь	3	2
132	стремится к	3	2
133	говорить о	3	2
134	дело в	2	2
135	здесь не	4	2
136	но здесь	4	2
137	в области	2	2
138	романного жанра	15	2
139	между тем	3	2
