N	2gram	Ircho_Kome_1	KulturaY
1	и т	9	39
2	потому что	5	25
3	т п	5	24
4	и в	22	23
5	т е	13	22
6	не только	10	20
7	в том	11	19
8	в этом	3	18
9	и не	8	16
10	было бы	2	15
11	так как	4	15
12	может быть	9	15
13	т д	4	14
14	точки зрения	4	14
15	у нас	3	12
16	в самом	2	12
17	том что	12	11
18	в области	2	11
19	но в	4	11
20	что в	6	10
21	вовсе не	2	9
22	вопрос о	3	9
23	в сущности	2	9
24	то что	2	9
25	не может	2	9
26	с другой	5	8
27	прежде всего	5	8
28	не в	6	8
29	в качестве	4	8
30	не менее	3	7
31	в силу	2	7
32	все же	3	7
33	но и	11	7
34	другой стороны	5	7
35	и с	3	7
36	да и	3	6
37	в этой	7	6
38	но не	2	6
39	тем не	2	6
40	то же	6	6
41	между тем	5	6
42	и на	3	6
43	ту же	2	6
44	ясно что	4	5
45	что он	6	5
46	тот же	3	5
47	еще не	2	5
48	несмотря на	4	5
49	в его	5	5
50	всяком случае	2	5
51	один из	5	5
52	и тем	2	5
53	вместе с	2	5
54	все это	5	5
55	таким образом	8	5
56	и вот	4	5
57	как это	3	5
58	не следует	2	5
59	во всяком	2	5
60	и здесь	2	5
61	только в	3	5
62	в них	3	4
63	к этому	4	4
64	на то	3	4
65	к тому	6	4
66	мы знаем	2	4
67	ни в	6	4
68	или в	2	4
69	хотя и	3	4
70	в нем	4	4
71	со стороны	2	4
72	так же	3	4
73	и о	3	4
74	в результате	4	4
75	могут быть	3	4
76	в то	10	4
77	в конце	6	4
78	ничего не	3	4
79	так и	5	4
80	на этом	2	3
81	уже в	5	3
82	казалось бы	3	3
83	у него	3	3
84	для этого	2	3
85	главным образом	3	3
86	же время	4	3
87	а также	4	3
88	о которых	5	3
89	же в	4	3
90	но это	2	3
91	того же	2	3
92	до конца	2	3
93	он не	3	3
94	что и	4	3
95	всего в	3	3
96	уже о	2	3
97	как в	5	3
98	ср также	4	3
99	как раз	3	3
100	так в	4	3
101	в форме	2	3
102	то и	2	3
103	этом отношении	3	3
104	именно в	4	3
105	как мы	4	3
106	из которых	2	3
107	и по	6	3
108	а в	6	3
109	и его	8	3
110	конце концов	4	3
111	тем что	4	3
112	аналогии с	2	3
113	в отношении	6	2
114	же как	3	2
115	в частности	3	2
116	что у	2	2
117	и все	3	2
118	одного из	6	2
119	на все	2	2
120	связанные с	2	2
121	говоря уже	2	2
122	что они	4	2
123	ли не	4	2
124	в другом	4	2
125	с одной	3	2
126	в свою	2	2
127	как будто	2	2
128	после того	3	2
129	ли это	2	2
130	при этом	5	2
131	по поводу	4	2
132	между прочим	2	2
133	что касается	2	2
134	указывает что	2	2
135	и даже	5	2
136	речь идет	3	2
137	к нему	2	2
138	мы видели	2	2
139	не говоря	2	2
140	в их	4	2
141	за счет	3	2
142	того как	3	2
143	этой цели	2	2
144	которых мы	2	2
145	еще и	2	2
146	как и	9	2
147	образом в	2	2
148	в году	3	2
149	здесь мы	3	2
150	и у	3	2
151	почти всегда	2	2
152	в своих	2	2
153	и еще	3	2
154	указания на	2	2
155	будто бы	2	2
156	тех же	2	2
157	отличие от	2	2
