N	3gram	Losev_Prob_2	KulturaY
1	в том что	4	15
2	для того чтобы	2	15
3	и т д	6	14
4	в самом деле	2	7
5	с другой стороны	5	6
6	по крайней мере	6	5
7	о том что	14	5
8	во всяком случае	10	5
9	до сих пор	4	4
10	тем не менее	12	4
11	только в том	4	3
12	можно было бы	2	3
13	более или менее	4	3
14	в связи с	5	3
15	не может быть	3	3
16	в этом смысле	5	3
17	того или иного	5	3
18	хотя бы и	3	2
19	и вовсе не	4	2
20	на то что	4	2
21	в то же	4	2
22	на самом деле	2	2
23	так или иначе	6	2
24	заключается в том	2	2
25	в этом случае	7	2
