N	2gram	Bakhtin_KF_1	UchenyiS
1	и в	24	14
2	а не	17	10
3	не только	5	10
4	и не	26	8
5	прежде всего	2	8
6	то что	7	7
7	в этом	14	7
8	не может	27	7
9	может быть	45	6
10	хотя бы	4	5
11	все это	10	5
12	и только	6	5
13	то же	5	5
14	но и	9	4
15	в этой	2	4
16	в их	8	4
17	конечно не	7	4
18	но в	5	3
19	как и	5	3
20	и то	2	3
21	все же	5	3
22	в своей	10	3
23	бы то	2	3
24	для этого	2	3
25	то ни	2	3
26	же время	2	3
27	для него	8	3
28	это не	10	3
29	в то	3	3
30	не как	4	3
31	было бы	8	3
32	и т.д	2	3
33	в области	2	3
34	не о	2	3
35	ни было	4	3
36	но конечно	3	2
37	том что	4	2
38	но не	12	2
39	в том	6	2
40	мы не	3	2
41	не есть	20	2
42	не в	12	2
43	всех этих	3	2
44	и для	9	2
45	но это	6	2
46	бы и	3	2
47	должна быть	4	2
48	этом смысле	3	2
49	если бы	8	2
50	это уже	2	2
51	только в	16	2
52	тем что	3	2
53	могут быть	3	2
54	его и	2	2
55	что он	2	2
56	в себе	21	2
57	если не	2	2
58	по себе	2	2
59	сводится к	2	2
60	ничего не	3	2
61	самом деле	3	2
62	а как	2	2
63	что и	7	2
64	в его	40	2
65	между тем	4	2
66	это было	2	2
