N	2gram	Voloshinov_2	FransuaR
1	и в	19	41
2	то есть	2	20
3	таким образом	14	19
4	в этом	15	15
5	и все	6	14
6	как и	9	14
7	в этой	3	13
8	то же	16	13
9	все эти	3	13
10	мы уже	6	12
11	в его	5	12
12	прежде всего	7	11
13	в том	7	11
14	как мы	15	11
15	в себе	4	11
16	так и	10	10
17	в то	8	10
18	в качестве	3	9
19	и его	16	9
20	не в	10	9
21	же время	8	9
22	но и	10	9
23	и т.п	10	9
24	в своем	2	9
25	что в	2	9
26	и от	3	8
27	то что	4	8
28	но в	7	8
29	вовсе не	11	7
30	как бы	19	7
31	в нем	11	7
32	и не	19	7
33	у него	2	6
34	это не	4	6
35	ни в	6	6
36	для него	9	6
37	и до	3	6
38	с помощью	6	6
39	только в	8	6
40	о том	3	6
41	уже в	2	5
42	к этому	5	5
43	не только	13	5
44	в ней	3	5
45	вместе с	2	5
46	что и	3	5
47	мы видели	4	5
48	и у	2	5
49	а в	3	5
50	к нему	5	5
51	и для	7	5
52	так же	5	5
53	точки зрения	17	5
54	и это	3	5
55	место в	2	4
56	что это	2	4
57	из одного	4	4
58	и здесь	5	4
59	том что	10	4
60	одна из	7	4
61	слов и	3	4
62	было бы	4	4
63	в сущности	14	4
64	может быть	28	4
65	он не	3	4
66	на этой	5	4
67	влияние на	4	4
68	должно быть	3	4
69	рядом с	2	4
70	и на	5	4
71	в более	2	4
72	и с	2	4
73	ничего не	4	4
74	в отношении	4	3
75	того же	5	3
76	и потому	2	3
77	его к	2	3
78	он был	2	3
79	ведь все	2	3
80	свою очередь	5	3
81	в своей	3	3
82	в свою	6	3
83	при этом	9	3
84	в формах	4	3
85	все то	2	3
86	и их	4	3
87	и эта	2	3
88	выражение в	5	3
89	что он	4	3
90	жизни и	2	3
91	во всех	6	3
92	в форме	5	3
93	в их	5	3
94	не может	18	3
95	не было	3	3
96	в той	5	3
97	с точки	13	3
98	не имеет	3	3
99	той же	3	3
100	с ними	4	3
101	тем что	2	3
102	не на	2	3
103	как о	2	3
104	не знает	2	3
105	его в	7	3
106	так сказать	14	3
107	так как	3	3
108	все его	2	3
109	от этого	2	3
110	учение о	3	2
111	перед нами	3	2
112	с его	8	2
113	все время	2	2
114	ни было	6	2
115	именно в	2	2
116	но по	2	2
117	никогда не	7	2
118	в этих	3	2
119	характерно что	3	2
120	здесь как	2	2
121	другими словами	2	2
122	в одной	2	2
123	с этим	3	2
124	направление в	2	2
125	на самом	7	2
126	и ее	4	2
127	к тому	6	2
128	связано с	3	2
129	нас не	2	2
130	следовательно и	2	2
131	отношению к	8	2
132	и как	6	2
133	более или	2	2
134	в большинстве	5	2
135	до конца	2	2
136	одно и	3	2
137	еще не	3	2
138	того что	4	2
139	значительной степени	2	2
140	свидетельствует о	2	2
141	одной из	3	2
142	и самого	2	2
143	оно ни	2	2
144	все те	4	2
145	должен быть	2	2
146	в самый	2	2
147	не есть	3	2
148	в процессе	18	2
149	или менее	2	2
150	по отношению	8	2
151	в связи	7	2
152	имеет дело	2	2
153	в особенности	2	2
154	еще более	2	2
155	и реальное	2	2
156	только на	4	2
157	в значительной	2	2
158	а не	9	2
159	с самого	5	2
160	мы здесь	2	2
161	мы не	2	2
162	или в	2	2
163	в данном	5	2
164	и то	3	2
165	во всяком	3	2
166	может стать	2	2
167	и т.д	4	2
168	далеко не	2	2
169	большинстве случаев	5	2
170	бы в	4	2
171	это было	2	2
