N	2gram	Potebnia_M_2	slovoVRo
1	и в	24	39
2	может быть	23	37
3	и т	6	35
4	и его	2	33
5	т п	3	33
6	то есть	30	26
7	не только	15	24
8	и не	19	22
9	но и	9	21
10	не может	12	20
11	в нем	9	19
12	все это	2	16
13	в этом	8	16
14	так и	5	15
15	а не	18	14
16	слова в	5	13
17	как в	10	13
18	во всех	7	12
19	вовсе не	9	10
20	не в	13	9
21	языка и	3	9
22	прежде всего	7	8
23	оно не	3	8
24	слова и	3	8
25	таким образом	11	8
26	с его	2	7
27	слово как	2	7
28	при этом	13	7
29	для него	10	7
30	еще не	4	7
31	в его	2	7
32	как бы	9	7
33	никогда не	4	7
34	в этих	3	7
35	и потому	2	7
36	могут быть	8	7
37	с ним	5	7
38	в них	5	6
39	все же	5	6
40	как и	7	6
41	но не	12	6
42	там где	4	6
43	все эти	2	6
44	в слове	13	6
45	так сказать	4	6
46	но в	4	6
47	не могут	7	5
48	с другой	6	5
49	это не	3	5
50	и для	3	5
51	и все	3	5
52	по себе	15	5
53	для нас	31	5
54	том что	8	5
55	но все	2	5
56	одной стороны	3	5
57	только в	11	5
58	в том	18	5
59	например в	3	5
60	и их	5	5
61	один из	2	5
62	с одной	4	5
63	человека в	3	5
64	уже не	4	5
65	с ними	3	5
66	от него	4	5
67	не менее	5	4
68	всех этих	2	4
69	себя и	2	4
70	же время	2	4
71	одна из	4	4
72	связанные с	2	4
73	по отношению	2	4
74	его не	3	4
75	отношения к	2	4
76	то же	12	4
77	что оно	4	4
78	и других	2	4
79	в таком	4	4
80	а в	8	4
81	с другими	5	4
82	и на	8	4
83	даже и	2	4
84	в то	6	4
85	отношении к	2	4
86	его в	3	4
87	во всем	2	4
88	так как	10	4
89	что в	16	3
90	хотя бы	2	3
91	не столько	2	3
92	и от	3	3
93	человека и	3	3
94	в собственном	2	3
95	не с	3	3
96	в свою	6	3
97	сама по	2	3
98	что и	11	3
99	из себя	2	3
100	но это	3	3
101	связи с	6	3
102	на этом	2	3
103	у него	2	3
104	и как	6	3
105	в ней	3	3
106	как для	2	3
107	связано с	2	3
108	в некоторых	4	3
109	той же	3	3
110	рядом с	3	3
111	сказать что	2	3
112	между тем	6	3
113	сознание и	4	3
114	в чем	7	3
115	как это	2	3
116	во всяком	7	3
117	и затем	2	2
118	уже в	5	2
119	не было	6	2
120	независимо от	9	2
121	хотя и	3	2
122	в нашем	2	2
123	но она	3	2
124	но он	2	2
125	того как	7	2
126	и образ	2	2
127	тогда когда	10	2
128	как например	3	2
129	человеческой речи	5	2
130	влияние на	4	2
131	в себе	10	2
132	и здесь	2	2
133	что он	4	2
134	что язык	2	2
135	в одно	8	2
136	в нее	4	2
137	более или	8	2
138	свою очередь	6	2
139	все что	3	2
140	за пределы	2	2
141	к ней	2	2
142	и проч	10	2
143	всяком случае	7	2
144	не все	2	2
145	с таким	3	2
146	но мы	3	2
147	сих пор	4	2
148	то что	20	2
149	зрения и	7	2
150	не знаем	2	2
151	входят в	3	2
152	вместе с	11	2
153	те же	3	2
154	на него	3	2
155	или менее	8	2
156	внутреннюю форму	3	2
157	так в	4	2
158	в языке	3	2
159	в связи	2	2
160	с этим	7	2
161	т д	3	2
162	которых мы	3	2
163	в себя	2	2
164	мы не	11	2
165	они не	4	2
166	для сознания	2	2
167	того чтобы	2	2
168	для того	5	2
169	или в	2	2
170	и при	3	2
171	далеко не	3	2
172	в другом	2	2
173	может стать	2	2
174	факт что	2	2
175	одним словом	4	2
176	о том	5	2
177	как он	4	2
178	кажется нам	2	2
179	оно может	2	2
180	предмет как	2	2
181	в одном	6	2
182	до сих	4	2
183	вне себя	2	2
