N	2gram	Berdyaev_V_1	KFilosof
1	в его	4	39
2	в нем	4	31
3	и не	20	26
4	и в	16	22
5	в котором	4	21
6	не есть	6	19
7	а не	7	17
8	только в	2	16
9	в этом	4	13
10	ни в	3	12
11	для него	2	12
12	но не	2	12
13	и это	2	12
14	все эти	3	11
15	в своей	3	11
16	не в	3	11
17	это не	2	10
18	все это	5	10
19	во всех	3	10
20	и есть	4	9
21	но и	5	9
22	как бы	5	9
23	и все	4	9
24	и для	3	9
25	не было	3	8
26	лишь в	3	8
27	жизни и	3	8
28	конечно не	2	7
29	что и	3	7
30	то что	9	7
31	в себя	2	7
32	и я	4	6
33	в том	3	6
34	но это	3	6
35	в мире	5	6
36	уже не	2	6
37	мира в	2	6
38	никогда не	3	5
39	хотя бы	3	5
40	ее и	2	5
41	не имеет	3	5
42	от своей	2	5
43	должно быть	3	5
44	с ним	2	5
45	но в	3	5
46	как и	4	5
47	что я	3	5
48	не только	2	5
49	что в	3	4
50	для нас	2	4
51	между тем	2	4
52	том что	2	4
53	ценности и	2	4
54	а в	2	4
55	в чем	3	4
56	во мне	4	3
57	бы и	3	3
58	должна быть	3	3
59	этого мира	3	3
60	когда я	2	3
61	того что	5	3
62	людей и	2	3
63	в ней	4	3
64	мы не	2	3
65	от него	2	3
66	еще не	8	3
67	нет и	2	3
68	что не	4	3
69	к чему	3	3
70	тем что	2	3
71	могут быть	2	3
72	а с	2	2
73	его и	2	2
74	прежде всего	2	2
75	его к	2	2
76	и мы	3	2
77	своей истории	2	2
78	тому что	3	2
79	что есть	5	2
80	потому что	4	2
81	говорить о	4	2
82	с его	3	2
83	и то	2	2
84	с тем	2	2
85	в жизни	3	2
86	что он	4	2
87	во главе	2	2
88	не будет	2	2
89	тот же	3	2
90	и потому	7	2
91	оно не	3	2
92	так и	4	2
93	если не	3	2
94	того чтобы	2	2
95	от этого	3	2
