N	2gram	Propp_Russ_2	formyVre
1	и в	29	46
2	в этом	11	22
3	прежде всего	2	14
4	и т	5	14
5	смерти в	2	11
6	не только	10	11
7	во всех	3	11
8	во время	12	10
9	в том	22	10
10	как бы	18	10
11	но в	5	10
12	не в	4	9
13	вместе с	6	9
14	но и	8	9
15	и для	2	9
16	в ряд	2	9
17	смерть и	2	8
18	связи с	2	8
19	как и	11	8
20	то же	4	8
21	того чтобы	6	8
22	для того	6	8
23	потому что	5	8
24	из них	4	8
25	в них	4	7
26	может быть	13	7
27	то что	5	7
28	и на	6	7
29	никогда не	2	6
30	и все	4	6
31	при этом	6	6
32	как мы	3	6
33	здесь в	2	6
34	еще не	6	6
35	его в	8	6
36	все же	2	6
37	все это	10	6
38	так как	13	6
39	и с	10	6
40	с этим	2	5
41	связанные с	2	5
42	по существу	4	5
43	в то	2	5
44	но не	5	5
45	что в	22	5
46	все эти	3	5
47	должно быть	2	5
48	жизни в	2	4
49	с этой	2	4
50	из этих	2	4
51	в образе	2	4
52	же в	6	4
53	том что	22	4
54	так что	4	4
55	том же	4	4
56	в котором	3	4
57	как в	7	4
58	смерти и	2	4
59	а не	4	4
60	их в	4	4
61	о том	9	4
62	не было	2	3
63	о чем	4	3
64	та же	2	3
65	к этому	5	3
66	как уже	2	3
67	на первый	3	3
68	а затем	4	3
69	и как	2	3
70	в качестве	3	3
71	кроме того	2	3
72	и смех	3	3
73	а также	4	3
74	что на	2	3
75	в этот	10	3
76	со смехом	2	3
77	как можно	2	3
78	что и	2	3
79	ее в	8	3
80	в форме	2	3
81	т д	5	3
82	и другие	14	3
83	таким образом	6	3
84	в их	2	3
85	уже не	4	3
86	здесь мы	2	3
87	того что	3	3
88	и по	3	3
89	а в	9	3
90	жизнь и	2	3
91	в которых	4	3
92	тем что	3	3
93	в этих	3	3
94	в виду	2	3
95	на этом	3	2
96	не был	2	2
97	в фольклоре	4	2
98	с другой	2	2
99	и других	3	2
100	это не	5	2
101	представление о	5	2
102	ее к	2	2
103	ее и	2	2
104	влияние на	2	2
105	все в	2	2
106	именно в	4	2
107	у нас	4	2
108	в этой	3	2
109	с тем	6	2
110	совсем не	2	2
111	в день	7	2
112	а на	9	2
113	до конца	3	2
114	и пр	2	2
115	она не	3	2
116	было бы	3	2
117	и о	3	2
118	один из	2	2
119	мы видели	7	2
120	после этого	2	2
121	этом случае	6	2
122	в некоторых	9	2
123	на землю	3	2
124	не может	5	2
125	на земле	5	2
126	с одной	2	2
127	смеха при	3	2
128	сюда же	2	2
129	так же	4	2
130	представлений о	2	2
131	у них	2	2
132	каждый из	2	2
133	в данном	6	2
134	людей и	2	2
135	и от	3	2
136	мы имеем	6	2
137	могут быть	2	2
138	но он	3	2
139	что здесь	3	2
140	далеко не	4	2
141	там где	2	2
142	по всем	3	2
143	как это	4	2
