N	2gram	Berdyaev_V_1	Myslijsy
1	потому что	4	52
2	и в	16	39
3	в том	3	26
4	только в	2	25
5	что в	3	22
6	а не	7	21
7	так как	9	21
8	не только	2	21
9	в нем	4	20
10	но и	5	20
11	и не	20	18
12	том что	2	16
13	не в	3	15
14	в этом	4	15
15	так и	4	13
16	мы не	2	10
17	что не	4	10
18	не есть	6	10
19	то что	9	10
20	и что	3	10
21	могут быть	2	9
22	для нас	2	9
23	как и	4	9
24	тем что	2	9
25	но в	3	9
26	но не	2	8
27	того что	5	8
28	должно быть	3	7
29	в ней	4	7
30	в истории	8	7
31	это не	2	7
32	духа и	2	7
33	в этих	3	7
34	еще не	8	6
35	как бы	5	6
36	что и	3	6
37	и т	2	6
38	с тем	2	5
39	но это	3	5
40	и потому	7	5
41	в его	4	5
42	то это	3	5
43	во всех	3	5
44	а в	2	5
45	и для	3	5
46	не имеет	3	5
47	между тем	2	5
48	не могут	2	4
49	никогда не	3	4
50	прежде всего	2	4
51	самого себя	2	4
52	от него	2	4
53	для него	2	4
54	к тому	3	4
55	т д	2	4
56	не было	3	4
57	что мы	4	4
58	тому что	3	3
59	в них	3	3
60	оно не	3	3
61	и во	2	3
62	и это	2	3
63	в жизни	3	3
64	что все	4	3
65	есть уже	2	3
66	когда в	2	3
67	в своей	3	3
68	в мире	5	3
69	свободы и	12	3
70	не так	2	3
71	с ним	2	3
72	должна быть	3	3
73	и то	2	3
74	во всяком	2	3
75	хотя и	5	3
76	и все	4	3
77	а между	2	3
78	и есть	4	2
79	по этому	3	2
80	не создает	2	2
81	жизни и	3	2
82	уже не	2	2
83	за ним	3	2
84	если не	3	2
85	не будет	2	2
86	все что	4	2
87	для них	2	2
88	того чтобы	2	2
89	для человека	2	2
90	хотя бы	3	2
91	силы человека	2	2
92	его к	2	2
93	что во	3	2
94	нет ничего	3	2
95	которые не	2	2
96	не могли	2	2
