N	2gram	Berdyaev_N_1	KulturaY
1	и в	16	23
2	в том	8	22
3	не только	5	17
4	в этом	7	16
5	может быть	7	14
6	что в	9	13
7	не менее	4	12
8	потому что	4	12
9	вопрос о	3	11
10	том что	2	11
11	а не	17	11
12	того чтобы	2	11
13	можно было	2	11
14	и не	11	10
15	прежде всего	4	9
16	еще не	3	9
17	хотя бы	2	9
18	лишь в	6	8
19	уже не	2	8
20	с другой	3	7
21	и что	2	7
22	должно быть	4	7
23	сказать что	3	7
24	все эти	2	7
25	как это	2	7
26	с тем	3	6
27	для этого	2	6
28	так и	2	6
29	не может	16	6
30	могут быть	2	6
31	о том	4	6
32	я не	2	5
33	и есть	10	5
34	как и	7	5
35	не в	6	5
36	хотя и	2	5
37	что она	2	5
38	не значит	3	5
39	а в	2	5
40	но это	6	5
41	и должно	2	5
42	одной стороны	2	4
43	в своей	3	4
44	том чтобы	2	4
45	в ее	3	4
46	то что	4	4
47	как в	3	4
48	не было	4	4
49	с одной	2	4
50	что такое	3	4
51	мы говорим	2	4
52	это не	4	3
53	формы и	2	3
54	должна быть	3	3
55	xix века	5	3
56	к тому	3	3
57	и к	5	3
58	ни в	6	3
59	по существу	2	3
60	это и	2	3
61	но не	2	3
62	но для	2	3
63	он не	8	3
64	не есть	3	3
65	но и	3	3
66	другой стороны	2	3
67	мы не	2	3
68	в ней	5	3
69	и пр	3	3
70	не имеет	4	3
71	и с	2	3
72	будет уже	2	3
73	в то	2	3
74	она не	3	3
75	когда мы	2	3
76	такой же	2	2
77	все это	5	2
78	все они	2	2
79	не означает	3	2
80	что все	2	2
81	быть в	2	2
82	по своему	4	2
83	равно как	2	2
84	смысле слова	3	2
85	конечно не	3	2
86	за пределы	3	2
87	вместе с	2	2
88	мысли и	2	2
89	перейти к	3	2
90	так же	2	2
91	не знает	6	2
92	на протяжении	2	2
93	тому как	3	2
94	в русском	2	2
95	в россии	3	2
96	но в	2	2
