N	2gram	Tiupa_Disk_1	Tragedij
1	и в	16	18
2	в году	2	9
3	в этом	15	9
4	не только	28	8
5	и не	11	7
6	и на	5	7
7	может быть	17	7
8	как бы	5	7
9	что он	4	6
10	и его	2	6
11	же время	4	6
12	но в	8	6
13	все же	3	5
14	так и	8	5
15	это не	3	5
16	не может	9	5
17	то же	7	5
18	как и	16	5
19	в то	3	5
20	но и	14	4
21	то что	5	4
22	в целом	4	4
23	что в	4	4
24	он всегда	2	4
25	прежде всего	11	4
26	и все	2	4
27	в нем	9	4
28	и даже	3	4
29	том что	19	4
30	в этой	2	4
31	и что	2	4
32	в себе	7	4
33	еще не	14	4
34	об этом	2	4
35	уже в	2	3
36	один из	3	3
37	с ее	2	3
38	о чем	2	3
39	отнюдь не	8	3
40	в своем	6	3
41	как в	10	3
42	и он	2	3
43	и как	6	3
44	в его	7	3
45	что с	2	3
46	для него	4	3
47	при этом	13	3
48	своего рода	8	3
49	то есть	20	3
50	еще в	3	2
51	перед нами	3	2
52	но они	2	2
53	что и	3	2
54	в частности	9	2
55	в отличие	5	2
56	данном случае	2	2
57	но при	3	2
58	уже не	4	2
59	с его	4	2
60	отношение к	4	2
61	к тому	5	2
62	столь же	3	2
63	времени в	2	2
64	в ходе	3	2
65	в ее	3	2
66	в том	23	2
67	отличие от	5	2
68	не в	7	2
69	в данном	5	2
70	в рассказе	2	2
71	потому что	4	2
72	в первом	3	2
73	тем что	3	2
74	чем он	2	2
75	и ее	2	2
76	было в	2	2
77	к области	2	2
78	по словам	2	2
79	о том	8	2
80	в самом	3	2
81	в одном	2	2
82	никогда не	2	2
