N	2gram	Medvedev_U_1	VerxiiNi
1	и в	14	26
2	таким образом	2	22
3	в этом	7	15
4	в том	2	11
5	может быть	6	10
6	не только	10	10
7	и с	2	10
8	но и	4	9
9	в области	3	9
10	с другой	4	8
11	но не	2	8
12	и не	8	8
13	и у	2	8
14	том что	2	7
15	то что	7	7
16	но в	3	7
17	в конце	2	6
18	что и	2	6
19	все же	3	6
20	все это	5	6
21	в себе	2	6
22	и т.д	3	6
23	крайней мере	2	5
24	до сих	2	5
25	в его	2	5
26	сих пор	2	5
27	а не	10	5
28	и для	2	5
29	по крайней	2	5
30	что все	2	4
31	что он	2	4
32	в самом	2	4
33	не может	7	4
34	и только	5	4
35	то же	5	4
36	в то	3	4
37	только в	2	4
38	в этой	4	4
39	если бы	2	3
40	хотя бы	5	3
41	для него	3	3
42	к сожалению	3	3
43	конце концов	2	3
44	не могут	2	2
45	с его	2	2
46	ни было	3	2
47	перестает быть	5	2
48	при таком	2	2
49	превращается в	2	2
50	не как	3	2
51	прежде всего	8	2
52	надо было	2	2
53	по существу	2	2
54	то ни	3	2
55	должна была	2	2
56	же время	3	2
57	что мы	2	2
58	конечно не	4	2
59	для всех	2	2
60	и является	2	2
61	бы то	3	2
62	для этого	3	2
63	если не	2	2
64	этом отношении	2	2
65	одним из	2	2
66	не в	2	2
67	же самое	2	2
68	в россии	4	2
69	между тем	2	2
