N	2gram	Savitsky_P_1	Myslijsy
1	потому что	3	52
2	и в	14	39
3	может быть	5	27
4	в том	9	26
5	только в	7	25
6	что в	4	22
7	не может	4	22
8	а не	2	21
9	не только	17	21
10	в нем	3	20
11	но и	6	20
12	и не	12	18
13	том что	4	16
14	не в	5	15
15	в этом	10	15
16	если бы	4	14
17	в себе	3	13
18	было бы	6	12
19	мы не	3	10
20	по себе	4	10
21	то что	4	10
22	могут быть	3	9
23	для нас	2	9
24	но в	9	9
25	но не	3	8
26	со стороны	2	8
27	того что	2	8
28	точки зрения	3	8
29	с другой	5	7
30	должно быть	2	7
31	в ней	6	7
32	с этим	2	7
33	это не	3	7
34	духа и	2	7
35	не менее	2	6
36	и как	3	6
37	как бы	4	6
38	и т	3	6
39	то же	9	6
40	с тем	3	5
41	и потому	4	5
42	в его	2	5
43	во всех	2	5
44	а в	4	5
45	между тем	3	5
46	тем самым	3	4
47	прежде всего	3	4
48	в смысле	6	4
49	бы ни	2	4
50	же время	7	4
51	есть нечто	2	4
52	не было	2	4
53	и других	2	4
54	в то	7	4
55	что мы	3	4
56	в них	2	3
57	столь же	3	3
58	и это	2	3
59	в жизни	2	3
60	друг другу	2	3
61	думать что	2	3
62	в своем	4	3
63	одной стороны	3	3
64	для того	3	3
65	помнить что	2	3
66	и тем	2	3
67	в мире	2	3
68	и без	3	3
69	с одной	3	3
70	в сравнении	3	3
71	заключается в	3	3
72	как на	2	3
73	хотя и	3	3
74	с точки	3	3
75	мы должны	4	3
76	нужно было	2	3
77	и с	2	3
78	и есть	2	2
79	стороны и	2	2
80	слова но	2	2
81	же в	4	2
82	есть не	2	2
83	для них	2	2
84	мысль о	2	2
85	между прочим	2	2
86	и о	5	2
87	и если	4	2
88	никак не	2	2
89	заключает в	2	2
90	тем более	2	2
91	еще более	2	2
92	хотя бы	8	2
93	сравнении с	3	2
94	в начале	2	2
95	есть в	2	2
