N	2gram	Medvedev_F_1	PoTuStor
1	может быть	14	17
2	и в	24	16
3	и пр	17	12
4	прежде всего	22	9
5	таким образом	13	9
6	в этом	15	9
7	и его	10	8
8	и с	8	8
9	точки зрения	16	8
10	не может	16	8
11	с его	4	7
12	не только	7	7
13	и это	2	6
14	и к	4	6
15	с точки	13	6
16	самом деле	6	6
17	для него	3	6
18	при этом	5	6
19	конечно не	4	6
20	отношение к	3	5
21	все эти	6	5
22	что такое	2	5
23	ни в	2	5
24	еще не	6	5
25	как бы	6	5
26	в него	2	5
27	в нем	14	4
28	и их	10	4
29	отнюдь не	6	4
30	но и	7	4
31	так и	18	4
32	все это	9	4
33	хотя бы	5	4
34	и все	6	4
35	и не	20	4
36	на самом	7	4
37	как мы	5	4
38	и ее	10	4
39	и наконец	3	4
40	и даже	3	4
41	и на	8	4
42	в этой	6	4
43	с ее	7	4
44	и может	4	4
45	только в	2	4
46	его в	3	4
47	но в	5	4
48	в его	23	4
49	полагаем что	2	3
50	что в	4	3
51	жизни и	7	3
52	во всех	5	3
53	и др	5	3
54	вместе с	2	3
55	сих пор	6	3
56	в большинстве	3	3
57	отношения к	6	3
58	в одном	2	3
59	пр и	2	3
60	и вот	2	3
61	большинстве случаев	2	3
62	учение о	4	3
63	в том	6	3
64	мы полагаем	2	3
65	а в	6	3
66	и как	3	3
67	с другими	4	3
68	то что	8	3
69	в основе	3	3
70	только как	2	3
71	только на	5	3
72	в общем	3	3
73	тех же	2	3
74	на язык	3	3
75	как это	6	3
76	в области	3	3
77	во всяком	4	3
78	в основном	3	3
79	и потому	9	3
80	до сих	6	3
81	между ними	3	3
82	всяком случае	4	3
83	не менее	11	2
84	нет и	2	2
85	один из	3	2
86	и лишь	2	2
87	что и	2	2
88	не есть	2	2
89	ни было	2	2
90	в душе	2	2
91	не имеющие	2	2
92	же как	2	2
93	в частности	4	2
94	и исключительно	2	2
95	никогда не	4	2
96	для этого	4	2
97	в них	3	2
98	если мы	2	2
99	во всей	2	2
100	оно не	4	2
101	с этой	4	2
102	и содержание	2	2
103	с этим	2	2
104	его целом	8	2
105	в жизни	3	2
106	то же	10	2
107	по аналогии	3	2
108	только и	4	2
109	и других	3	2
110	с помощью	3	2
111	сводится к	3	2
112	что он	3	2
113	мы не	3	2
114	в систему	3	2
115	в науке	2	2
116	войти в	2	2
117	как и	11	2
118	на основе	6	2
119	они не	3	2
120	так же	4	2
121	но это	3	2
122	почти совершенно	2	2
123	аналогии с	3	2
124	это последнее	3	2
125	не на	2	2
126	он не	3	2
127	как с	2	2
128	не можем	2	2
129	в пределах	6	2
130	было бы	6	2
131	со всеми	3	2
132	но ведь	2	2
133	в самом	5	2
134	за пределы	2	2
135	в своей	11	2
136	к другим	2	2
137	с ним	2	2
138	почти не	2	2
