N	2gram	Bakhtin_Pr_4	EvropaiC
1	таким образом	4	32
2	в том	9	31
3	и в	46	24
4	том что	4	20
5	все эти	4	19
6	не может	19	18
7	то что	4	17
8	может быть	23	15
9	все же	4	15
10	точки зрения	11	13
11	в своем	3	12
12	до сих	8	12
13	сих пор	8	12
14	самом деле	4	12
15	в этом	16	12
16	все это	6	11
17	между тем	2	11
18	с этим	2	11
19	отношению к	5	10
20	как бы	19	10
21	по отношению	5	10
22	все что	2	10
23	во всех	5	10
24	так и	4	10
25	на то	3	9
26	при этом	5	9
27	друг с	5	9
28	в результате	2	9
29	как и	12	9
30	того же	3	9
31	с другом	5	9
32	что в	4	9
33	не в	10	8
34	в самом	9	8
35	так же	3	8
36	чем у	3	8
37	если бы	3	8
38	и все	9	8
39	с точки	9	8
40	не менее	2	7
41	для этого	2	7
42	к тому	2	7
43	но и	12	7
44	и не	27	7
45	и что	3	7
46	из этих	3	7
47	по своей	3	7
48	о котором	2	7
49	о том	5	7
50	что он	6	7
51	о которых	2	7
52	по существу	3	7
53	или менее	3	7
54	более или	3	7
55	а между	2	7
56	должна быть	2	6
57	с другой	3	6
58	так что	2	6
59	в этой	3	6
60	в общем	2	6
61	отличается от	3	6
62	и на	11	6
63	так как	5	6
64	с ним	2	6
65	и при	3	6
66	еще не	7	6
67	что и	3	6
68	в мире	3	6
69	мы можем	4	6
70	только в	6	6
71	вместе с	2	6
72	на все	2	5
73	у него	5	5
74	и их	3	5
75	другой стороны	3	5
76	и с	7	5
77	потому что	4	5
78	но в	6	5
79	и к	9	5
80	в то	5	5
81	в его	9	5
82	не только	14	5
83	и для	3	5
84	но все	2	5
85	между двумя	3	5
86	лишь в	2	5
87	в себе	7	5
88	далеко не	3	5
89	не могут	3	4
90	никогда не	6	4
91	пор не	2	4
92	в конце	3	4
93	одним из	3	4
94	хотя и	6	4
95	отношение к	3	4
96	в их	4	4
97	должно быть	4	4
98	мы уже	3	4
99	том же	4	4
100	он не	4	4
101	совершенно не	4	4
102	то же	6	4
103	если мы	5	4
104	что та	2	4
105	хотя бы	2	4
106	и т.д	3	4
107	мы будем	2	3
108	же как	2	3
109	они должны	3	3
110	в этих	4	3
111	вопрос о	2	3
112	для нас	2	3
113	в нем	17	3
114	развиваться в	2	3
115	целый ряд	2	3
116	и других	4	3
117	и наконец	4	3
118	и по	2	3
119	а в	2	3
120	это не	5	3
121	что мы	2	3
122	бы в	3	3
123	прежде всего	9	3
124	в жизни	5	3
125	у нас	2	3
126	мы сказали	3	3
127	во всем	4	3
128	конечно не	8	3
129	на почве	2	3
130	жизнь и	3	3
131	в данном	2	3
132	и это	3	3
133	отличие от	3	3
134	но на	2	2
135	себя и	3	2
136	и говорить	2	2
137	как мы	12	2
138	все в	2	2
139	для него	2	2
140	мы и	3	2
141	такой же	3	2
142	на этом	3	2
143	же время	5	2
144	и сам	5	2
145	к нему	5	2
146	к ним	4	2
147	но для	3	2
148	но если	3	2
149	в виду	4	2
150	в котором	5	2
151	с ее	3	2
152	на том	2	2
153	он тоже	2	2
154	и до	3	2
155	образом и	3	2
156	то и	2	2
157	те же	2	2
158	в самой	5	2
159	в одно	2	2
160	они не	2	2
161	между этими	3	2
162	в которых	2	2
163	широком смысле	2	2
164	и так	2	2
165	не было	2	2
166	также и	3	2
167	во всяком	2	2
168	то есть	40	2
169	этих двух	4	2
170	вовсе не	9	2
171	так чтобы	3	2
172	одна из	2	2
173	но не	4	2
174	она не	3	2
175	было бы	3	2
176	жизни и	5	2
177	в сущности	7	2
178	тем как	2	2
179	которую он	2	2
180	него в	3	2
181	в процессе	4	2
182	на него	3	2
183	что же	3	2
184	из одного	2	2
185	но с	2	2
186	в себя	4	2
187	между ними	10	2
188	этот вопрос	2	2
189	в другом	2	2
190	ту же	2	2
191	не знает	4	2
192	этого слова	2	2
193	если же	5	2
194	есть в	6	2
195	и только	3	2
