N	2gram	Medvedev_V_1	VeschiIm
1	т е	18	42
2	не может	17	33
3	не только	25	31
4	может быть	22	29
5	и не	19	28
6	и в	26	26
7	то что	6	24
8	и есть	5	23
9	значит что	2	22
10	и т	23	21
11	т д	14	20
12	а не	7	20
13	что она	2	14
14	только в	7	14
15	того что	3	13
16	по себе	2	13
17	было бы	7	12
18	но и	10	12
19	сказать что	5	12
20	все же	5	12
21	и ее	4	12
22	таким образом	31	11
23	с нею	2	11
24	то же	10	10
25	в ней	2	10
26	как бы	5	10
27	что мы	2	10
28	что такое	2	10
29	в том	15	9
30	в самом	4	9
31	прежде всего	13	9
32	что не	3	9
33	еще и	2	9
34	в себе	6	8
35	со своим	2	7
36	что оно	3	7
37	также и	2	7
38	говорить о	2	7
39	в то	6	7
40	его в	3	7
41	е в	2	7
42	том что	8	7
43	и их	3	7
44	как раз	3	7
45	с другими	2	7
46	в этом	26	7
47	ли это	2	7
48	и как	3	6
49	что они	3	6
50	что в	10	6
51	для него	8	6
52	жизни и	3	6
53	отличается от	2	6
54	должно быть	2	6
55	в результате	5	6
56	точки зрения	3	6
57	но в	2	6
58	по крайней	2	6
59	она не	3	6
60	крайней мере	2	6
61	относится к	2	6
62	бы и	6	6
63	можно было	2	6
64	не менее	2	5
65	это не	7	5
66	не в	6	5
67	еще не	2	5
68	из себя	2	5
69	должны быть	2	5
70	а в	3	5
71	что для	3	5
72	чем же	4	5
73	с тем	3	5
74	если бы	3	5
75	отнюдь не	3	5
76	в ее	4	5
77	у нас	2	5
78	это и	6	5
79	необходимо и	2	5
80	одна из	4	5
81	но не	2	5
82	и для	2	5
83	в чем	2	5
84	можно ли	2	4
85	в своем	8	4
86	с другой	11	4
87	же время	5	4
88	между собою	2	4
89	только то	2	4
90	из них	9	4
91	в их	5	4
92	от того	2	4
93	и даже	2	4
94	с этим	3	4
95	о том	10	4
96	то это	2	4
97	как и	7	4
98	во всех	6	4
99	и потому	2	4
100	нет и	3	4
101	должен быть	4	4
102	что и	3	4
103	даже не	2	4
104	этот вопрос	3	4
105	между ними	3	4
106	никогда не	4	3
107	но даже	3	3
108	собою и	2	3
109	можно сказать	4	3
110	к тому	4	3
111	более или	6	3
112	как о	2	3
113	момент в	3	3
114	было в	2	3
115	в нем	6	3
116	все это	10	3
117	ее как	2	3
118	в философии	4	3
119	их в	6	3
120	но как	3	3
121	мы имеем	3	3
122	тогда когда	2	3
123	на это	2	3
124	даже и	3	3
125	в одном	4	3
126	в жизни	2	3
127	один из	5	3
128	что он	4	3
129	не быть	2	3
130	между прочим	2	3
131	в своей	4	3
132	вместе с	7	3
133	так и	5	3
134	или менее	6	3
135	но то	2	3
136	бы в	3	3
137	того чтобы	3	3
138	хотя бы	19	3
139	тому как	2	3
140	подобно тому	2	3
141	явлений и	3	3
142	может не	2	2
143	на вопрос	2	2
144	в частности	11	2
145	тому что	6	2
146	только очень	2	2
147	человека и	3	2
148	в виду	4	2
149	в сфере	2	2
150	этой точки	2	2
151	в слове	3	2
152	заключается в	2	2
153	так же	3	2
154	в своих	2	2
155	самого себя	2	2
156	как это	12	2
157	о чем	2	2
158	и значит	2	2
159	а затем	2	2
160	в силу	11	2
161	в качестве	11	2
162	и может	2	2
163	себе и	2	2
164	об этом	9	2
165	он не	2	2
166	и этот	2	2
167	когда он	3	2
168	приводит к	5	2
169	для того	3	2
170	при всем	3	2
171	и его	6	2
172	из его	3	2
173	моментов в	3	2
174	ту же	2	2
175	в науке	2	2
176	в особенности	2	2
177	том как	3	2
