N	3gram	Potebnia_M_4	EvropaiC
1	в том что	7	16
2	до сих пор	4	12
3	по отношению к	8	10
4	с точки зрения	3	8
5	а между тем	4	7
6	на то что	4	7
7	на самом деле	3	7
8	для того чтобы	4	6
9	не может быть	5	4
10	в своем развитии	2	4
11	о том что	5	4
12	тем не менее	4	4
13	с течением времени	2	4
14	в этом случае	5	4
15	в том случае	3	4
16	в данном случае	2	3
17	в том же	2	3
18	и то что	4	3
19	так или иначе	2	3
20	в то же	3	2
21	не в состоянии	2	2
22	и в том	2	2
23	то же время	3	2
24	в том и	2	2
25	заключает в себе	8	2
26	во всяком случае	3	2
27	вместе с тем	3	2
28	рано или поздно	2	2
