N	2gram	Berdyaev_M_2	Istorich
1	и в	46	28
2	может быть	21	25
3	не может	15	15
4	а не	13	15
5	никогда не	18	14
6	что в	4	12
7	то же	5	12
8	не только	18	12
9	мы видим	2	11
10	только в	3	11
11	что он	7	10
12	мы увидим	2	10
13	прежде всего	12	10
14	но и	15	10
15	т е	4	10
16	и что	2	10
17	в том	3	9
18	о том	3	9
19	то что	5	9
20	и не	18	9
21	не в	9	9
22	так и	4	9
23	что это	6	8
24	не всегда	2	8
25	если бы	3	8
26	в этом	20	8
27	но в	10	8
28	в этих	2	7
29	это не	5	7
30	том что	4	7
31	в ней	11	7
32	а в	2	7
33	так же	6	7
34	и здесь	6	7
35	к тому	5	6
36	что и	4	6
37	в этой	7	6
38	его в	3	6
39	так как	8	6
40	вместе с	2	6
41	не знает	9	5
42	вопрос о	6	5
43	что они	3	5
44	до сих	3	5
45	что она	5	5
46	ее в	2	5
47	сих пор	3	5
48	в своем	8	5
49	можно было	2	5
50	увидим что	2	5
51	сказать что	3	5
52	в его	5	5
53	к которому	3	5
54	связи с	2	4
55	превращается в	2	4
56	так что	2	4
57	но это	8	4
58	означает что	4	4
59	один из	5	4
60	как и	13	4
61	того что	6	4
62	должны быть	4	4
63	хотя бы	7	4
64	и для	7	4
65	и с	3	4
66	и на	3	4
67	потому что	12	4
68	в основе	2	4
69	они не	4	4
70	как будто	2	4
71	я не	5	3
72	мы еще	2	3
73	в образе	3	3
74	по себе	2	3
75	для этого	4	3
76	на этом	2	3
77	там и	6	3
78	этого вопроса	2	3
79	должен быть	4	3
80	отношению к	2	3
81	того как	3	3
82	и тогда	3	3
83	нас не	2	3
84	что же	2	3
85	уже не	4	3
86	и его	5	3
87	чтобы не	3	3
88	к чему	4	3
89	и он	11	3
90	по отношению	2	3
91	также и	4	3
92	тем что	3	3
93	во всем	5	3
94	эта мысль	2	3
95	и должно	3	3
96	не существует	3	2
97	есть еще	2	2
98	были бы	2	2
99	не означает	2	2
100	то он	2	2
101	и от	3	2
102	на природу	2	2
103	и потому	7	2
104	в такой	3	2
105	к своему	2	2
106	по своей	3	2
107	поэтому он	2	2
108	связано с	3	2
109	быть назван	2	2
110	для него	18	2
111	в глубине	3	2
112	тот же	2	2
113	и тот	2	2
114	мысль о	2	2
115	в действительности	2	2
116	нет в	4	2
117	и если	2	2
118	что не	2	2
119	с ним	3	2
120	же как	3	2
121	как бы	8	2
122	еще в	2	2
123	а для	2	2
124	в нем	22	2
125	не есть	13	2
126	себя в	4	2
127	во всех	2	2
128	в русской	6	2
129	как в	7	2
130	отношения к	2	2
131	он не	10	2
132	и вот	5	2
133	не так	3	2
134	должно быть	2	2
135	и она	3	2
136	ничего не	2	2
137	нас в	2	2
138	между тем	2	2
139	от этого	2	2
140	он в	3	2
141	в себе	10	2
142	бы в	2	2
143	как он	3	2
144	которые в	2	2
145	ведет к	13	2
146	и этим	2	2
147	только с	3	2
148	тогда когда	2	2
149	стоит на	2	2
