N	2gram	Tiupa_Lite_1	formyVre
1	и в	8	50
2	то есть	6	33
3	в этом	12	25
4	в нем	2	24
5	и его	4	16
6	прежде всего	11	15
7	и не	12	14
8	как раз	4	13
9	в его	7	13
10	так и	4	12
11	человека и	2	11
12	может быть	13	11
13	таким образом	3	11
14	то же	5	11
15	но в	3	10
16	в конце	4	9
17	в том	16	9
18	же время	5	9
19	и др	3	9
20	все эти	2	9
21	в то	5	9
22	не только	24	9
23	с его	5	9
24	роль в	2	9
25	в самом	3	8
26	но и	17	8
27	как и	6	8
28	того же	2	8
29	жизни и	3	8
30	не было	3	7
31	для себя	5	7
32	все же	4	6
33	в частности	15	6
34	это не	4	6
35	например в	3	6
36	в их	3	6
37	не может	5	6
38	лишь в	4	6
39	у него	3	6
40	в жизни	6	6
41	и того	2	6
42	связи с	6	6
43	то что	10	6
44	как в	5	6
45	не оставляет	2	6
46	что в	3	5
47	не в	8	5
48	в пределах	3	5
49	в связи	4	5
50	в основе	3	5
51	точки зрения	6	5
52	отнюдь не	2	5
53	но не	4	5
54	еще не	4	5
55	не могло	2	5
56	отношению к	2	5
57	могут быть	2	5
58	в своем	11	4
59	могло быть	2	4
60	потому что	3	4
61	к себе	3	4
62	нет ничего	2	4
63	и т.п	4	4
64	том что	14	4
65	и то	2	4
66	только в	8	4
67	жизни не	2	3
68	к тому	2	3
69	да и	3	3
70	при этом	19	3
71	xviii века	2	3
72	в виду	3	3
73	мира в	3	3
74	один из	3	3
75	по отношению	3	3
76	этом отношении	2	3
77	с одной	2	3
78	друг друга	4	3
79	а в	3	3
80	одно из	3	3
81	самим собою	2	3
82	его в	3	3
83	а как	2	3
84	для них	2	3
85	же в	5	3
86	в качестве	17	3
87	в сущности	2	3
88	по преимуществу	4	3
89	только на	2	3
90	а не	16	3
91	что не	2	3
92	своей собственной	2	3
93	во всяком	3	3
94	в себе	7	3
95	уже в	5	2
96	никогда не	4	2
97	к своей	2	2
98	с другой	3	2
99	мир и	2	2
100	и нет	2	2
101	или иной	2	2
102	а только	2	2
103	тому же	2	2
104	с их	3	2
105	для него	2	2
106	одной стороны	2	2
107	в целом	8	2
108	не к	2	2
109	еще и	3	2
110	во втором	2	2
111	того что	6	2
112	и даже	3	2
113	самим собой	2	2
114	также и	3	2
115	же и	3	2
116	и является	2	2
117	как он	2	2
118	тех же	3	2
119	мир в	4	2
120	не является	2	2
121	не как	4	2
122	раз и	2	2
123	одна из	3	2
124	было бы	2	2
125	на один	2	2
126	том же	3	2
127	так называемый	2	2
128	а также	5	2
129	на почве	2	2
130	в своей	4	2
131	как бы	7	2
132	и прежде	3	2
133	в отличие	5	2
134	жизни на	2	2
135	уже не	7	2
136	с точки	2	2
137	хотя бы	2	2
138	той же	3	2
139	в данном	5	2
140	тем что	2	2
141	на себя	2	2
142	ту же	2	2
143	далеко не	3	2
144	дело в	3	2
145	здесь как	2	2
146	отличие от	5	2
