N	3gram	Losev_Prob_5	Vvedenie
1	для того чтобы	2	20
2	о том что	9	12
3	в том что	8	12
4	тем не менее	5	8
5	не может быть	2	8
6	в этом смысле	3	8
7	до н э	5	6
8	до сих пор	2	6
9	с другой стороны	5	5
10	в данном случае	2	4
11	по крайней мере	4	4
12	с одной стороны	3	4
13	что иное как	3	4
14	не что иное	3	4
15	во всяком случае	2	4
16	по отношению к	2	4
17	можно сказать что	3	3
18	также и в	2	3
19	вместе с тем	3	3
20	но все же	2	3
21	как будто бы	3	2
22	в конце концов	6	2
23	по этому поводу	2	2
24	дело в том	2	2
25	с точки зрения	8	2
26	в значительной мере	2	2
27	точно так же	3	2
28	в связи с	7	2
29	в до н	2	2
30	обратить внимание на	3	2
31	потому что он	2	2
