N	2gram	Tiupa_Anal_1	Myshleni
1	то что	6	26
2	что он	3	25
3	в этом	13	25
4	потому что	2	21
5	таким образом	3	19
6	в том	27	18
7	не может	22	18
8	точки зрения	6	18
9	того чтобы	3	17
10	что в	5	16
11	и в	18	16
12	того что	4	16
13	так как	2	16
14	не только	15	16
15	том что	12	15
16	для того	4	14
17	в сущности	6	13
18	между собой	2	13
19	в процессе	2	13
20	отношению к	5	12
21	вопрос о	2	12
22	в ходе	3	12
23	по отношению	6	12
24	и не	21	12
25	в области	4	12
26	отношение к	2	11
27	в его	13	11
28	из того	4	11
29	но не	10	10
30	было бы	2	10
31	как мы	2	10
32	а не	17	10
33	в силу	3	10
34	только в	6	10
35	может быть	29	9
36	с точки	4	9
37	должно быть	2	8
38	о том	5	8
39	в основе	6	8
40	если бы	3	8
41	как и	13	8
42	он не	3	8
43	то же	9	8
44	тем самым	7	8
45	и есть	3	7
46	в нем	3	7
47	того же	4	7
48	так и	4	7
49	по себе	4	7
50	представляет собой	16	7
51	к объекту	3	7
52	внутренней речи	5	7
53	в какой	2	6
54	не в	14	6
55	в этой	5	6
56	но и	17	6
57	и на	5	6
58	как он	3	6
59	могли бы	2	6
60	но в	8	6
61	состоит в	11	6
62	к тому	7	6
63	в той	8	6
64	в другом	4	6
65	на вопрос	4	5
66	никогда не	2	5
67	на все	2	5
68	для него	2	5
69	как бы	5	5
70	не является	2	5
71	хотя бы	3	5
72	этом отношении	2	5
73	в то	9	5
74	с ним	4	5
75	тогда когда	2	5
76	мере в	3	5
77	можно сказать	2	5
78	же мере	2	5
79	в которой	2	5
80	не могут	3	4
81	все эти	2	4
82	с другой	4	4
83	это не	6	4
84	в пределах	2	4
85	при этом	12	4
86	в самом	6	4
87	в целом	5	4
88	именно в	4	4
89	и по	2	4
90	что мы	3	4
91	же самое	2	4
92	тем более	2	4
93	в качестве	31	4
94	как известно	3	4
95	еще не	3	4
96	за пределы	2	4
97	не есть	8	4
98	вместе с	4	4
99	той же	2	4
100	тому как	3	4
101	и то	2	4
102	могут быть	4	4
103	такой же	2	4
104	подобно тому	3	4
105	и составляет	2	4
106	в частности	19	3
107	одного и	2	3
108	прежде всего	6	3
109	как уже	2	3
110	и как	5	3
111	самом деле	2	3
112	одной стороны	3	3
113	к нему	3	3
114	и является	2	3
115	если в	3	3
116	его и	2	3
117	в их	5	3
118	с одной	3	3
119	сознания в	4	3
120	а в	9	3
121	и с	2	3
122	по своей	6	3
123	в первом	2	3
124	между тем	5	3
125	между двумя	3	3
126	и более	4	3
127	только не	2	3
128	вопрос об	3	3
129	он может	2	3
130	той мере	2	3
131	все же	4	3
132	и того	5	3
133	то в	2	3
134	еще в	2	3
135	что и	3	3
136	на примере	2	3
137	на этом	2	3
138	в себя	6	3
139	из которых	4	3
140	и его	5	3
141	вопроса о	3	3
142	только для	2	2
143	которое дает	2	2
144	себя и	4	2
145	столь же	4	2
146	на его	2	2
147	имеет место	5	2
148	как совокупность	2	2
149	одним из	3	2
150	совпадает с	2	2
151	в котором	3	2
152	в своей	6	2
153	из них	2	2
154	в отличие	6	2
155	представляют собой	2	2
156	которая в	3	2
157	другой стороны	2	2
158	отношения к	2	2
159	свое время	2	2
160	на основе	2	2
161	или не	2	2
162	может иметь	2	2
163	из виду	2	2
164	в случае	6	2
165	вовсе не	2	2
166	есть не	8	2
167	не с	4	2
168	и к	3	2
169	отличие от	6	2
170	никто не	3	2
171	обратиться к	3	2
172	в свое	2	2
173	и потому	2	2
174	к предмету	2	2
175	тому же	4	2
176	а с	3	2
177	ничто не	2	2
178	как будто	3	2
