N	2gram	Vinokur_St_1	EvropaiE
1	и в	44	37
2	в отношении	9	32
3	точки зрения	11	23
4	что в	30	21
5	не только	18	18
6	с точки	8	17
7	в то	9	16
8	хотя бы	6	15
9	то же	5	15
10	в своем	2	14
11	в качестве	4	14
12	же время	4	14
13	но и	10	14
14	и не	16	14
15	но в	10	14
16	в этом	21	12
17	в том	36	11
18	в области	14	11
19	так и	9	10
20	прежде всего	7	9
21	не может	8	9
22	т е	15	9
23	в себе	2	9
24	только в	10	9
25	так же	5	9
26	думать что	2	8
27	в ее	4	8
28	одной стороны	2	8
29	было бы	17	8
30	в своей	6	8
31	с одной	3	8
32	между тем	3	8
33	как и	9	7
34	между прочим	2	7
35	того что	9	7
36	а также	2	7
37	с другой	9	7
38	также и	9	7
39	так как	5	7
40	с этой	3	6
41	вовсе не	19	6
42	том что	29	6
43	может быть	15	6
44	для того	10	6
45	на то	4	6
46	как бы	4	6
47	то что	18	6
48	во всех	8	6
49	того чтобы	11	6
50	и даже	5	6
51	то есть	2	6
52	же как	3	5
53	в частности	4	5
54	столь же	4	5
55	не в	12	5
56	но не	3	5
57	но если	4	5
58	со стороны	6	5
59	в той	6	5
60	тем самым	2	5
61	и по	5	5
62	от этого	2	5
63	в виде	3	5
64	в россии	4	5
65	и потому	2	5
66	именно в	6	4
67	вопрос о	4	4
68	или иного	4	4
69	чем в	3	4
70	несмотря на	2	4
71	в самом	7	4
72	то в	3	4
73	в ней	3	4
74	даже в	3	4
75	для нас	7	4
76	мы не	2	4
77	не имеет	4	4
78	во многих	3	4
79	культуры в	3	4
80	сказать что	7	4
81	тем более	4	4
82	в каком	3	4
83	того или	4	4
84	как это	4	4
85	этом отношении	7	3
86	но на	2	3
87	можно ли	4	3
88	никогда не	5	3
89	вообще не	2	3
90	применении к	3	3
91	того же	3	3
92	в данной	2	3
93	из них	8	3
94	всяком случае	6	3
95	не является	3	3
96	и тем	3	3
97	что и	6	3
98	говорит о	3	3
99	во второй	9	3
100	бы и	4	3
101	как в	13	3
102	и только	3	3
103	идет о	2	3
104	в деле	3	3
105	и для	3	3
106	в таком	3	3
107	можно было	13	3
108	в которых	5	3
109	в результате	3	3
110	потому что	6	3
111	во всяком	6	3
112	тем что	5	3
113	ни на	2	3
114	в применении	3	3
115	в данном	14	3
116	о том	17	3
117	дело в	6	3
118	там где	5	3
119	отметить что	2	3
120	что все	2	2
121	и более	2	2
122	а не	16	2
123	в этих	2	2
124	еще более	4	2
125	в случае	2	2
126	в какой	3	2
127	во втором	4	2
128	и во	2	2
129	с этим	3	2
130	и все	2	2
131	но также	9	2
132	к нему	2	2
133	представление о	4	2
134	из того	2	2
135	что на	2	2
136	и можно	2	2
137	в сторону	2	2
138	такой же	5	2
139	есть в	2	2
140	должна быть	3	2
141	но именно	2	2
142	что это	4	2
143	кажется что	3	2
144	она не	2	2
145	следовало бы	2	2
146	он не	2	2
147	в его	9	2
148	в котором	5	2
149	если в	2	2
150	при помощи	2	2
151	жизни и	5	2
152	данном случае	6	2
153	целый ряд	2	2
154	что же	6	2
155	а в	17	2
156	таким образом	7	2
157	если бы	9	2
158	начиная с	2	2
159	но с	3	2
160	а именно	3	2
161	и сейчас	4	2
162	заключается в	4	2
163	и что	4	2
164	более чем	2	2
165	на этот	3	2
166	другой стороны	7	2
167	в других	2	2
168	в своих	2	2
169	этот вопрос	4	2
170	и с	3	2
171	могут быть	5	2
172	в этой	11	2
173	ведь и	3	2
174	и то	5	2
175	по своей	2	2
176	в истории	3	2
177	как будто	4	2
178	стороны в	2	2
179	то не	2	2
180	также в	2	2
181	и творчества	2	2
