N	3gram	Losev_Vesc_1	Myshleni
1	в том что	4	31
2	с точки зрения	3	11
3	с одной стороны	3	9
4	с другой стороны	2	8
5	в собственном смысле	2	7
6	в самом деле	4	6
7	одно и то	4	6
8	и то же	4	6
9	не только не	2	5
10	для того чтобы	2	5
11	на то что	2	4
12	и то что	3	4
13	по сравнению с	6	3
14	о том что	4	3
15	бы сказать что	2	3
16	во всяком случае	2	3
17	в данном случае	2	2
18	в свое время	2	2
19	в свою очередь	4	2
20	и не только	4	2
21	содержит в себе	4	2
22	подобно тому как	4	2
23	это значит что	19	2
