N	2gram	Losev_Vesc_1	StatiiOP
1	и в	21	29
2	том что	8	27
3	в том	8	27
4	в этом	4	21
5	но и	18	19
6	что в	9	19
7	не только	36	19
8	о том	6	17
9	в его	2	13
10	в и	2	13
11	между прочим	3	12
12	то что	27	11
13	все это	5	11
14	к тому	3	10
15	таким образом	8	10
16	т е	55	10
17	в своем	6	9
18	и т	19	9
19	так и	3	9
20	и не	29	9
21	потому что	16	9
22	и пр	6	8
23	как раз	9	8
24	но в	5	8
25	с тем	5	7
26	в самом	9	7
27	в ней	12	7
28	в виду	2	7
29	в котором	3	7
30	я не	4	7
31	в своей	5	7
32	тому что	2	7
33	для того	2	7
34	об этом	3	6
35	в одном	2	6
36	вовсе не	10	6
37	все же	4	6
38	т д	19	6
39	и что	15	6
40	того чтобы	3	6
41	и его	2	6
42	прежде всего	9	5
43	была бы	2	5
44	в той	3	5
45	было бы	14	5
46	как бы	12	5
47	а не	19	5
48	того что	8	5
49	точки зрения	5	5
50	что у	5	4
51	с другой	6	4
52	но с	2	4
53	не в	5	4
54	для него	4	4
55	кроме того	4	4
56	и о	3	4
57	хотя и	4	4
58	в нем	2	4
59	дело в	4	4
60	еще более	2	4
61	ничего не	3	4
62	при помощи	2	4
63	в другом	2	4
64	и с	8	4
65	не менее	3	3
66	что это	13	3
67	но он	2	3
68	вообще не	2	3
69	оно не	3	3
70	с этим	3	3
71	с нею	18	3
72	по себе	13	3
73	что на	2	3
74	у нас	7	3
75	так что	5	3
76	но это	10	3
77	но не	5	3
78	у меня	3	3
79	никогда не	2	3
80	и даже	6	3
81	всяком случае	2	3
82	оба эти	3	3
83	из них	4	3
84	другой стороны	2	3
85	самом деле	4	3
86	а с	3	3
87	еще и	8	3
88	тем что	2	3
89	хотя бы	6	3
90	во всяком	3	3
91	и здесь	4	3
92	в россии	2	3
93	не то	4	3
94	в отношении	4	2
95	есть еще	3	2
96	ни было	4	2
97	только не	2	2
98	если бы	5	2
99	с этой	4	2
100	если не	3	2
101	в конце	2	2
102	выражение в	3	2
103	бы ни	2	2
104	что и	3	2
105	тем не	3	2
106	в ее	7	2
107	а затем	2	2
108	по существу	2	2
109	не потому	6	2
110	как и	8	2
111	то ни	4	2
112	и как	8	2
113	из его	2	2
114	в этой	3	2
115	что я	24	2
116	что они	6	2
117	в то	3	2
118	может быть	16	2
119	только к	2	2
120	никак не	3	2
121	и потому	5	2
122	на то	4	2
123	нет никакого	2	2
124	сами по	3	2
125	только в	14	2
126	бы то	4	2
127	также и	6	2
128	ни с	6	2
129	дело не	2	2
130	со стороны	5	2
131	только что	2	2
132	совершенно не	5	2
133	не может	17	2
134	истории и	2	2
135	то же	6	2
136	все эти	3	2
137	у всех	3	2
138	что такое	12	2
139	с точки	3	2
140	в данном	5	2
141	в результате	3	2
142	сказать что	17	2
143	на меня	3	2
144	в себе	14	2
145	от его	2	2
146	на это	4	2
147	его в	2	2
148	и это	14	2
149	почти все	2	2
150	так как	7	2
151	только с	3	2
152	свое выражение	3	2
153	как это	2	2
154	того же	5	2
