N	2gram	Savitsky_E_1	NovoeSre
1	а не	2	17
2	не может	9	16
3	и в	37	16
4	и не	14	11
5	что в	21	9
6	жизни и	2	8
7	как не	2	8
8	он не	2	8
9	в том	11	8
10	не будет	3	7
11	культуры и	2	7
12	как и	7	7
13	в этом	12	7
14	может быть	6	7
15	никогда не	3	6
16	не в	5	6
17	культуры в	4	5
18	и к	3	5
19	в ней	4	5
20	не только	18	5
21	то что	6	4
22	в них	3	4
23	и все	2	4
24	не имеет	4	4
25	и для	3	4
26	потому что	3	4
27	по своему	7	4
28	прежде всего	9	4
29	и мы	3	4
30	о том	3	4
31	и потому	5	4
32	но и	14	3
33	не есть	2	3
34	должна быть	2	3
35	в своей	8	3
36	в истории	2	3
37	жизни в	3	3
38	с другой	7	3
39	вопрос о	4	3
40	во всех	6	3
41	не означает	2	3
42	к тому	8	3
43	в мире	2	3
44	в ее	8	3
45	с тем	3	3
46	в прошлом	3	3
47	как в	3	3
48	она не	2	3
49	наряду с	2	3
50	в россии	5	3
51	сказать что	4	3
52	к ним	3	3
53	и революции	2	2
54	что все	2	2
55	место в	3	2
56	на уровне	2	2
57	вместе с	2	2
58	так и	10	2
59	другой стороны	2	2
60	и от	3	2
61	а в	2	2
62	с одной	8	2
63	этом смысле	3	2
64	думать что	8	2
65	такой же	2	2
66	того чтобы	6	2
67	одной стороны	8	2
68	и даже	6	2
69	на путях	4	2
70	хотя бы	15	2
71	духовной жизни	2	2
72	но не	5	2
73	в свои	2	2
74	так же	9	2
75	мы не	4	2
76	войны и	2	2
77	том что	6	2
78	в смысле	9	2
79	можно было	3	2
80	есть в	2	2
81	же как	5	2
82	и с	2	2
83	и что	2	2
84	могут быть	2	2
85	с этим	2	2
86	и на	6	2
87	не к	2	2
88	в себе	9	2
89	ли это	3	2
90	ведь и	2	2
91	в то	16	2
92	как будто	2	2
93	хозяйственной жизни	4	2
94	в будущем	3	2
95	мира и	3	2
96	как это	4	2
97	хотя и	2	2
98	но в	14	2
99	и творчества	2	2
100	помнить что	2	2
