N	3gram	Medvedev_F_3	KulturaY
1	и т п	5	41
2	с точки зрения	14	16
3	в самом деле	4	11
4	для того чтобы	4	11
5	тем не менее	2	9
6	в том что	3	8
7	и т д	6	8
8	в зависимости от	5	7
9	в данном случае	4	4
10	в связи с	4	4
11	с другой стороны	5	3
12	т п в	2	3
13	так и в	2	3
14	не может быть	14	3
15	на самом деле	12	3
16	в отличие от	2	2
17	как мы видели	2	2
18	то или иное	2	2
19	формы и содержания	2	2
20	только то что	2	2
21	дело не в	2	2
22	одним и тем	2	2
23	и тем же	2	2
24	смысле этого слова	2	2
25	по отношению к	3	2
