N	2gram	Ircho_Kome_2	VLabPisa
1	таким образом	6	27
2	в этом	10	26
3	и в	26	25
4	и т	2	24
5	не только	7	22
6	может быть	11	21
7	хотя бы	2	20
8	и не	14	19
9	не может	3	17
10	в его	4	15
11	прежде всего	4	13
12	в том	11	13
13	в частности	4	12
14	все это	3	12
15	как это	4	12
16	с другой	2	11
17	в силу	2	11
18	из них	7	11
19	в качестве	5	10
20	о том	6	10
21	как видим	2	9
22	к этому	5	9
23	об этом	2	9
24	что в	9	9
25	но и	10	9
26	то же	3	9
27	т п	2	9
28	на основании	5	8
29	в своем	6	8
30	не следует	2	8
31	из этих	4	7
32	же в	4	7
33	как и	4	7
34	том что	9	7
35	было бы	8	7
36	отношению к	3	7
37	во всех	3	7
38	вместе с	9	7
39	по отношению	3	7
40	не было	3	7
41	у него	4	6
42	это не	2	6
43	то что	6	6
44	в нем	6	6
45	так и	12	6
46	бы и	2	6
47	и его	12	6
48	между тем	4	6
49	в то	6	6
50	тому что	4	5
51	же время	3	5
52	все же	4	5
53	связи с	3	5
54	и есть	2	5
55	одним из	2	5
56	как бы	2	5
57	один из	5	5
58	в их	3	5
59	действующих лиц	5	5
60	только в	4	5
61	не в	2	5
62	не является	2	5
63	к тому	12	4
64	в одном	2	4
65	в целом	4	4
66	что он	5	4
67	с его	5	4
68	в ее	2	4
69	одна из	2	4
70	в своей	3	4
71	в самом	4	4
72	даже в	2	4
73	в них	4	4
74	в связи	3	4
75	с ними	2	4
76	в философии	2	4
77	в этой	3	4
78	и к	2	3
79	во время	6	3
80	и ее	2	3
81	с тем	5	3
82	и от	4	3
83	в конце	2	3
84	силу этого	2	3
85	мы знаем	3	3
86	из его	2	3
87	не столь	2	3
88	или в	3	3
89	по поводу	3	3
90	с этим	5	3
91	например в	3	3
92	вслед за	2	3
93	в виду	2	3
94	в котором	3	3
95	нет и	2	3
96	его в	4	3
97	что и	7	3
98	жизни и	3	3
99	и их	3	3
100	видно из	2	3
101	при всем	3	3
102	точки зрения	4	3
103	является не	2	3
104	бы в	2	3
105	не менее	4	2
106	том числе	3	2
107	что ни	2	2
108	в каждом	3	2
109	три года	2	2
110	не всегда	2	2
111	вовсе не	2	2
112	роль в	2	2
113	этом же	2	2
114	о его	4	2
115	частности в	2	2
116	что его	3	2
117	а затем	5	2
118	ли не	7	2
119	до сих	2	2
120	но не	3	2
121	чуть ли	2	2
122	как известно	2	2
123	в пользу	2	2
124	еще не	6	2
125	одной стороны	2	2
126	для того	5	2
127	одной из	4	2
128	то это	2	2
129	если бы	9	2
130	мы имеем	2	2
131	ни одна	2	2
132	в ней	3	2
133	что она	2	2
134	не вполне	2	2
135	всяком случае	2	2
136	отнюдь не	2	2
137	если в	2	2
138	что для	4	2
139	после этого	2	2
140	многие из	3	2
141	каждой из	2	2
142	не по	4	2
143	сих пор	2	2
144	от того	2	2
145	до нас	4	2
146	даже не	3	2
147	а в	3	2
148	с одной	2	2
149	в течение	2	2
150	человека в	3	2
151	того чтобы	6	2
152	из которых	3	2
153	и для	4	2
154	войны и	3	2
155	можно было	4	2
156	во всяком	2	2
157	также что	2	2
158	хотя и	4	2
159	он не	2	2
160	к его	2	2
161	говорить о	2	2
162	на это	2	2
163	как он	3	2
164	которые в	2	2
165	в образе	3	2
166	в которой	5	2
167	о чем	3	2
168	но в	3	2
