N	2gram	Nazirov_Vr_1	StatiiOP
1	и в	8	44
2	в том	3	36
3	что в	7	30
4	том что	3	29
5	в этом	8	21
6	то что	7	18
7	не только	9	18
8	а в	2	17
9	о том	4	17
10	и не	5	16
11	т е	3	15
12	может быть	4	15
13	в этой	2	11
14	точки зрения	2	11
15	что он	4	10
16	но и	7	10
17	но в	6	10
18	в то	5	9
19	как и	6	9
20	в его	3	9
21	все же	6	8
22	из них	2	8
23	не может	2	8
24	и его	3	8
25	это не	4	8
26	с точки	2	8
27	я не	3	7
28	для нас	4	7
29	таким образом	2	7
30	но это	2	6
31	для него	2	6
32	в своей	2	6
33	в той	2	6
34	не менее	2	5
35	никогда не	2	5
36	так же	4	5
37	в котором	6	5
38	в нем	6	5
39	все это	4	5
40	то же	5	5
41	и даже	6	5
42	и то	2	5
43	тем что	3	5
44	речь идет	3	4
45	столь же	2	4
46	это в	2	4
47	же время	5	4
48	тем более	2	4
49	и что	8	4
50	как раз	2	4
51	как бы	4	4
52	на то	3	4
53	в россии	5	4
54	не было	5	4
55	что у	3	4
56	а с	2	3
57	во время	2	3
58	и с	6	3
59	в конце	3	3
60	он был	3	3
61	об этом	5	3
62	в начале	6	3
63	же как	2	3
64	еще не	2	3
65	п в	2	3
66	в ней	4	3
67	в истории	4	3
68	по мнению	2	3
69	о которой	2	3
70	в чем	3	3
71	ответ на	2	3
72	между тем	5	3
73	уже в	4	2
74	в своем	3	2
75	и во	3	2
76	раз в	3	2
77	при этом	4	2
78	несмотря на	4	2
79	а также	2	2
80	и уже	3	2
81	отношение к	2	2
82	отношения к	2	2
83	целый ряд	4	2
84	начиная с	2	2
85	и у	3	2
86	в своих	4	2
87	их в	2	2
88	у него	5	2
89	он не	3	2
90	но он	3	2
91	в себе	2	2
92	и все	7	2
93	его в	3	2
94	при помощи	2	2
95	и это	2	2
