N	2gram	Bakhtin_sl_2	Sovremen
1	не может	20	17
2	точки зрения	8	12
3	может быть	37	12
4	таким образом	8	11
5	мы не	2	9
6	в этом	16	7
7	и в	39	7
8	и не	22	6
9	как и	6	6
10	в результате	2	6
11	прежде всего	8	5
12	все эти	6	5
13	и наконец	5	5
14	с точки	3	5
15	как бы	7	4
16	мы видели	2	4
17	жизни и	6	4
18	вместе с	2	4
19	в зависимости	4	4
20	это не	5	4
21	а в	4	4
22	не только	24	4
23	с помощью	4	4
24	в том	5	4
25	в дальнейшем	2	4
26	точку зрения	3	4
27	зависимости от	4	4
28	так как	4	4
29	уже в	2	3
30	но мы	2	3
31	все же	6	3
32	может не	2	3
33	все это	16	3
34	отличается от	2	3
35	то же	4	3
36	в нем	19	3
37	а не	14	3
38	и к	6	3
39	для нас	5	3
40	не в	9	3
41	одна из	4	3
42	еще не	7	3
43	при этом	7	3
44	в одном	2	3
45	и все	5	3
46	как он	2	3
47	в себе	2	3
48	в области	2	3
49	но в	6	3
50	и потому	7	3
51	так сказать	6	2
52	может иметь	3	2
53	не могут	5	2
54	не знаем	2	2
55	не менее	4	2
56	в виде	2	2
57	в некоторых	3	2
58	у него	3	2
59	значение в	2	2
60	быть и	3	2
61	в нашем	2	2
62	на котором	2	2
63	в отличие	12	2
64	с одной	5	2
65	еще более	2	2
66	как мы	7	2
67	уже не	5	2
68	в свою	3	2
69	или иной	5	2
70	роль в	2	2
71	и даже	7	2
72	она может	2	2
73	той же	3	2
74	конечно в	2	2
75	в таком	4	2
76	но все	5	2
77	необходимо отметить	3	2
78	во всяком	3	2
79	свою очередь	2	2
80	на этом	3	2
81	могут быть	7	2
82	с этим	2	2
83	что в	3	2
84	говорить о	3	2
85	со всеми	2	2
86	на его	2	2
87	в новых	2	2
88	отличие от	13	2
89	в его	7	2
90	всяком случае	2	2
