N	2gram	Propp_Russ_2	Dialekti
1	т е	24	48
2	а не	4	26
3	и в	29	24
4	и т	5	24
5	не только	10	23
6	т д	5	23
7	не может	5	19
8	и что	5	15
9	в таком	4	14
10	то что	5	14
11	может быть	13	13
12	таким образом	6	13
13	что это	3	12
14	того что	3	12
15	не менее	2	11
16	не имеет	3	11
17	тем не	2	10
18	но и	8	9
19	что она	3	9
20	прежде всего	2	8
21	так что	4	8
22	и как	2	8
23	том что	22	8
24	в этом	11	8
25	в виде	4	8
26	что в	22	7
27	никогда не	2	7
28	потому что	5	7
29	в виду	2	7
30	это и	2	7
31	как и	11	7
32	иное как	2	6
33	кроме того	2	6
34	но если	3	6
35	все это	10	6
36	и с	10	6
37	что иное	2	6
38	о том	9	6
39	так как	13	6
40	и все	4	6
41	не что	2	6
42	об этом	2	6
43	что и	2	6
44	то же	4	6
45	и пр	2	6
46	с этой	2	5
47	в том	22	5
48	только как	2	5
49	что для	3	5
50	одно из	2	5
51	в то	2	5
52	как это	4	5
53	в них	4	5
54	вопрос о	4	5
55	тогда когда	4	5
56	было бы	3	5
57	уже не	4	5
58	мы не	6	5
59	с другой	2	4
60	это не	5	4
61	то время	2	4
62	так же	4	4
63	говорить что	2	4
64	на первый	3	4
65	у нас	4	4
66	говорит о	2	4
67	жизнь и	2	4
68	тому как	3	4
69	и то	2	4
70	подобно тому	3	4
71	е в	10	4
72	не было	2	3
73	все же	2	3
74	и от	3	3
75	не в	4	3
76	есть в	2	3
77	она не	3	3
78	одной стороны	2	3
79	из них	4	3
80	то и	4	3
81	с одной	2	3
82	все эти	3	3
83	должно быть	2	3
84	друг друга	3	3
85	и на	6	3
86	с этим	2	3
87	во всем	2	3
88	тем что	3	3
89	он есть	2	3
90	на себя	2	3
91	только тогда	3	3
92	одна из	11	3
93	и о	3	3
94	но она	2	3
95	как бы	18	3
96	или же	5	3
97	для того	6	3
98	из которых	2	3
99	к нему	4	3
100	и ее	2	3
101	же как	4	2
102	из этих	2	2
103	показывает что	8	2
104	для нас	6	2
105	на этом	3	2
106	еще не	6	2
107	не можем	2	2
108	при этом	6	2
109	нас к	3	2
110	совершенно не	2	2
111	а именно	3	2
112	для этого	5	2
113	как например	3	2
114	именно в	4	2
115	обе стороны	2	2
116	руки и	3	2
117	и по	3	2
118	а в	9	2
119	нет никаких	2	2
120	быть только	2	2
121	в своих	2	2
122	людей и	2	2
123	ее от	2	2
124	их в	4	2
125	когда мы	2	2
126	но в	5	2
127	в разные	2	2
128	из нее	2	2
129	в их	2	2
130	же в	6	2
131	по существу	4	2
132	так чтобы	2	2
133	но не	5	2
134	в природе	3	2
135	природы и	2	2
136	на них	4	2
137	ее в	8	2
138	так в	2	2
139	как мы	3	2
140	и для	2	2
141	или в	7	2
142	в данном	6	2
143	могут быть	2	2
144	как объяснить	4	2
145	из этого	2	2
146	где есть	3	2
