N	2gram	Tiupa_Teor_1	Marksizm
1	точки зрения	9	34
2	может быть	17	26
3	и не	13	26
4	не может	4	24
5	с точки	3	20
6	и в	18	19
7	и его	8	19
8	таким образом	3	17
9	в этом	8	16
10	как бы	5	15
11	языка в	4	14
12	прежде всего	2	13
13	как и	4	12
14	так и	10	11
15	если мы	2	11
16	и для	2	11
17	в самом	4	10
18	в нем	4	10
19	в слове	3	10
20	– в	15	10
21	и т.п	4	10
22	для него	2	9
23	лишь в	6	9
24	внутренней речи	13	9
25	только в	6	9
26	как система	2	8
27	при этом	12	8
28	в контексте	3	8
29	но и	9	8
30	не только	16	8
31	то что	3	8
32	– это	18	8
33	без исключения	4	8
34	все эти	2	7
35	так же	2	7
36	но в	9	7
37	в ее	5	7
38	то же	7	7
39	а не	9	7
40	слова как	3	7
41	в том	16	6
42	в пределах	5	6
43	– не	4	6
44	другой стороны	5	6
45	и здесь	2	6
46	отнюдь не	3	6
47	того же	3	6
48	в его	6	6
49	на почве	4	6
50	и того	3	6
51	с другой	7	5
52	одного и	3	5
53	в конце	2	5
54	именно в	3	5
55	не в	7	5
56	и потому	2	5
57	знака к	5	5
58	вовсе не	3	5
59	за пределы	2	5
60	по преимуществу	4	5
61	в отличие	6	5
62	отличие от	6	5
63	что в	9	4
64	не менее	4	4
65	в отношении	3	4
66	– его	5	4
67	не является	4	4
68	а в	13	4
69	сказать что	3	4
70	жизни в	2	4
71	– и	2	4
72	всех без	3	4
73	еще не	4	4
74	не будет	2	4
75	как в	5	4
76	между ними	4	4
77	в данном	8	4
78	отношении к	2	4
79	далеко не	2	4
80	место в	5	3
81	в какой	2	3
82	или иной	4	3
83	можно сказать	3	3
84	и как	2	3
85	в большинстве	2	3
86	же время	5	3
87	все это	2	3
88	по отношению	4	3
89	того что	4	3
90	с другими	5	3
91	между тем	5	3
92	в то	6	3
93	его в	2	3
94	знакового материала	4	3
95	не могут	2	3
96	и к	3	3
97	том что	9	3
98	одной из	2	3
99	он не	3	3
100	в первом	2	3
101	в своей	6	3
102	быть и	2	3
103	– все	3	3
104	сводится к	5	3
105	речи и	2	3
106	между двумя	3	3
107	и ее	3	3
108	и это	2	3
109	в которой	2	3
110	в области	4	3
111	в узком	3	2
112	том числе	2	2
113	в частности	16	2
114	никогда не	4	2
115	второй –	3	2
116	тому что	2	2
117	в своем	4	2
118	знаков в	2	2
119	тем не	3	2
120	ни в	2	2
121	свою очередь	2	2
122	в свою	3	2
123	мог бы	3	2
124	это отношение	3	2
125	первой части	2	2
126	одним из	2	2
127	совпадает с	3	2
128	отношение знака	3	2
129	и является	2	2
130	в виду	5	2
131	в нашем	4	2
132	с ее	3	2
133	зрения и	2	2
134	в первой	5	2
135	как к	2	2
136	имеет место	2	2
137	– как	2	2
138	в данный	2	2
139	во втором	3	2
140	и даже	2	2
141	из этих	3	2
142	к его	2	2
143	этом смысле	2	2
144	за пределами	5	2
145	в основе	3	2
146	ни к	3	2
147	если бы	3	2
148	между собой	3	2
149	нового времени	3	2
150	в литературе	2	2
151	в себе	9	2
152	данный момент	2	2
153	в романе	3	2
154	у нас	2	2
155	то в	2	2
156	в качестве	24	2
157	– с	5	2
158	к тому	2	2
159	этого слова	3	2
160	не могло	2	2
161	не все	3	2
162	что и	2	2
163	отношению к	4	2
164	как раз	2	2
165	на смену	4	2
166	или в	3	2
167	или иначе	5	2
168	могут быть	4	2
169	в другом	3	2
170	могла бы	2	2
171	не знает	3	2
172	и т.д	3	2
173	в русской	6	2
174	жизни но	2	2
