N	2gram	Bakhtin_KF_1	FransuaR
1	и в	24	56
2	в его	40	18
3	все эти	10	15
4	в этом	14	14
5	в том	6	13
6	так и	2	13
7	и его	17	12
8	в то	3	12
9	до конца	3	11
10	как бы	9	11
11	то же	5	11
12	же время	2	10
13	еще не	4	10
14	только в	16	9
15	но и	9	9
16	и не	26	9
17	том что	4	8
18	по своему	3	8
19	не только	5	8
20	в нем	28	8
21	во всех	11	8
22	и их	6	8
23	все это	10	8
24	и на	3	7
25	прежде всего	2	6
26	вовсе не	7	6
27	в ее	16	6
28	в этой	2	6
29	потому что	2	6
30	точки зрения	12	6
31	и все	7	6
32	но в	5	6
33	но не	12	5
34	никогда не	5	5
35	с ее	2	5
36	как и	5	5
37	он не	6	5
38	один из	2	5
39	в процессе	2	5
40	что в	4	5
41	не было	8	5
42	в области	2	5
43	времени и	4	4
44	что это	3	4
45	и ее	2	4
46	в себе	21	4
47	в качестве	2	4
48	конечно не	7	4
49	в ней	3	4
50	и потому	2	4
51	в ту	2	4
52	при этом	4	4
53	и других	2	4
54	того чтобы	2	4
55	в основе	5	4
56	в своих	3	4
57	во всем	7	4
58	о том	3	4
59	в едином	9	3
60	всех этих	3	3
61	в своем	16	3
62	и здесь	7	3
63	может быть	45	3
64	был бы	3	3
65	здесь нет	2	3
66	что и	7	3
67	то что	7	3
68	в их	8	3
69	там где	5	3
70	здесь мы	4	3
71	уже не	7	3
72	не в	12	3
73	рядом с	3	3
74	на волю	2	3
75	между тем	4	3
76	в другом	3	3
77	и т.д	2	3
78	его к	2	3
79	если бы	8	2
80	в виде	2	2
81	это не	10	2
82	не как	4	2
83	в одном	4	2
84	на самом	3	2
85	к этому	2	2
86	что он	2	2
87	конечно в	2	2
88	смыслу и	2	2
89	бы и	3	2
90	и эти	2	2
91	ни было	4	2
92	ни в	12	2
93	и конечно	2	2
94	и как	2	2
95	но это	6	2
96	этот момент	6	2
97	совсем не	2	2
98	момент в	7	2
99	для него	8	2
100	было бы	8	2
101	себе и	3	2
102	нем и	3	2
103	а в	4	2
104	и эта	2	2
105	к ним	4	2
106	в котором	24	2
107	его жизни	3	2
108	все же	5	2
109	в своей	10	2
110	события так	2	2
111	в мире	6	2
112	это мир	2	2
113	его как	5	2
114	самом деле	3	2
115	дело не	2	2
116	во всей	4	2
117	не может	27	2
118	в каком	4	2
119	как к	2	2
120	то ни	2	2
121	культуры и	5	2
122	а не	17	2
123	для того	3	2
124	из которых	2	2
125	к нему	12	2
126	и для	9	2
127	с точки	9	2
128	его в	5	2
129	бы то	2	2
130	мы не	3	2
131	в данном	2	2
132	и то	2	2
133	и совершенно	3	2
134	людей и	2	2
135	он и	2	2
136	той или	3	2
137	дело в	2	2
138	с тем	2	2
139	мира и	4	2
140	с ним	5	2
141	не потому	2	2
