N	2gram	Bakhtin_Pr_3	Myshleni
1	в том	14	28
2	и в	53	28
3	то что	9	28
4	в этом	8	27
5	в развитии	3	24
6	потому что	5	22
7	не может	2	19
8	том что	5	19
9	таким образом	6	18
10	что он	4	18
11	только в	4	18
12	что в	2	17
13	не только	4	16
14	по сравнению	4	15
15	сравнению с	4	14
16	может быть	12	13
17	сказать что	10	13
18	точки зрения	4	13
19	и не	15	11
20	к другим	2	11
21	как бы	14	11
22	как мы	5	10
23	но и	7	10
24	по отношению	2	10
25	так как	7	10
26	но не	5	10
27	с точки	2	10
28	было бы	5	9
29	мы можем	5	9
30	никогда не	2	8
31	в самом	2	8
32	мы видели	2	8
33	еще не	5	8
34	тем что	2	8
35	самого начала	4	7
36	того же	2	7
37	с самого	3	7
38	в нем	10	7
39	в сущности	10	7
40	и других	9	7
41	мы видим	2	7
42	отношение к	6	7
43	он не	3	7
44	вместе с	2	7
45	то же	6	7
46	между ними	2	7
47	в которой	2	7
48	и к	5	6
49	в то	5	6
50	его в	2	6
51	как и	11	6
52	можно сказать	8	6
53	так и	6	6
54	мы не	4	6
55	в области	3	6
56	это не	6	5
57	и тем	2	5
58	в разных	4	5
59	и на	18	5
60	и все	10	5
61	но в	5	5
62	в зависимости	2	5
63	зависимости от	2	5
64	могут быть	4	5
65	я не	4	4
66	именно в	2	4
67	не в	2	4
68	мы и	2	4
69	например в	5	4
70	с этим	2	4
71	они не	3	4
72	на основе	2	4
73	в одной	2	4
74	в сознании	2	4
75	что и	3	4
76	во всех	12	4
77	в той	2	4
78	ко всем	2	4
79	той же	5	4
80	в себе	5	4
81	в каждом	4	3
82	как это	2	3
83	есть в	3	3
84	при этом	3	3
85	на его	3	3
86	и той	2	3
87	хотя и	4	3
88	в их	2	3
89	и по	3	3
90	в своих	2	3
91	образом в	2	3
92	в основе	5	3
93	по своей	9	3
94	с его	2	3
95	видели что	2	3
96	в них	2	3
97	связанные с	3	3
98	до сих	5	3
99	мы должны	4	3
100	один из	6	3
101	в его	8	3
102	с ней	3	3
103	сих пор	5	3
104	как в	7	3
105	в себя	6	3
106	а не	11	3
107	и его	10	3
108	значение для	2	3
109	не знает	4	3
110	и т.д	2	3
111	не менее	3	2
112	он сам	4	2
113	казалось бы	3	2
114	и другие	9	2
115	в этих	5	2
116	с другой	2	2
117	в конце	3	2
118	прежде всего	15	2
119	что именно	2	2
120	подняться над	2	2
121	но это	3	2
122	и более	2	2
123	и человека	4	2
124	несмотря на	2	2
125	к одному	2	2
126	одним из	3	2
127	и от	3	2
128	и др	14	2
129	из них	4	2
130	все это	8	2
131	в связи	2	2
132	все эти	9	2
133	форм и	2	2
134	и наконец	2	2
135	но он	2	2
136	от него	3	2
137	с ним	2	2
138	для всех	2	2
139	представления о	2	2
140	что уже	2	2
141	по существу	5	2
142	более того	6	2
143	по своему	6	2
144	мы уже	5	2
145	в своей	3	2
146	ее в	3	2
147	а в	2	2
148	перейти к	2	2
149	с другими	3	2
150	что я	2	2
151	и вообще	3	2
152	я видел	3	2
