N	2gram	Berdyaev_V_1	Vvedenie
1	и т	2	42
2	т д	2	36
3	и в	16	32
4	в том	3	31
5	в этом	4	30
6	том что	2	26
7	не только	2	22
8	того чтобы	2	20
9	то что	9	16
10	потому что	4	15
11	так как	9	15
12	в нем	4	13
13	того что	5	12
14	и не	20	12
15	в его	4	12
16	только в	2	12
17	что в	3	10
18	но в	3	9
19	в истории	8	9
20	между тем	2	9
21	это не	2	8
22	не в	3	8
23	прежде всего	2	7
24	но не	2	7
25	можно было	2	7
26	не могут	2	6
27	один из	2	6
28	но и	5	6
29	все это	5	6
30	с тем	2	6
31	как и	4	6
32	хотя бы	3	6
33	тем что	2	6
34	и это	2	6
35	как бы	5	5
36	в них	3	5
37	не есть	6	5
38	а не	7	5
39	что не	4	5
40	могут быть	2	5
41	в котором	4	4
42	и что	3	4
43	не имеет	3	4
44	а в	2	4
45	от этого	3	4
46	что он	4	4
47	еще не	8	4
48	в своей	3	4
49	истории и	2	4
50	уже не	2	4
51	и для	3	4
52	и то	2	4
53	во всяком	2	4
54	и есть	4	3
55	в этих	3	3
56	в конце	3	3
57	бы и	3	3
58	к тому	3	3
59	да и	2	3
60	хотя и	5	3
61	в ней	4	3
62	то это	3	3
63	на том	2	3
64	все эти	3	3
65	говорить о	4	3
66	в чем	3	3
67	что и	3	3
68	вот почему	2	3
69	до того	2	2
70	должна быть	3	2
71	никогда не	3	2
72	тому что	3	2
73	это еще	4	2
74	но это	3	2
75	и сам	2	2
76	не к	2	2
77	в форме	2	2
78	не было	3	2
79	должно быть	3	2
80	так и	4	2
81	для них	2	2
82	по этому	3	2
83	не с	2	2
84	его к	2	2
85	во всех	3	2
86	в прошлом	2	2
87	что мы	4	2
88	жизни и	3	2
89	и тогда	2	2
90	мы не	2	2
91	одна из	2	2
92	не могли	2	2
