N	2gram	Potebnia_M_2	Psycholo
1	и в	24	38
2	то что	20	35
3	в том	18	25
4	в самом	4	25
5	самом деле	2	21
6	что в	16	20
7	может быть	23	19
8	и что	4	18
9	на то	5	16
10	что она	3	16
11	в ней	3	15
12	то есть	30	15
13	если бы	11	14
14	том что	8	14
15	как бы	9	14
16	и т	6	14
17	потому что	49	14
18	в этом	8	13
19	мы видим	2	12
20	было бы	13	12
21	не только	15	12
22	таким образом	11	12
23	не в	13	12
24	что он	4	11
25	что это	3	10
26	то же	12	10
27	и не	19	10
28	и все	3	10
29	о которых	3	9
30	того чтобы	2	9
31	все же	5	8
32	с тем	4	8
33	с этим	7	8
34	в одном	6	8
35	вовсе не	9	8
36	для нас	31	8
37	как и	7	8
38	так что	10	8
39	и как	6	8
40	но только	2	8
41	для того	5	8
42	и то	3	8
43	и это	2	8
44	с другой	6	7
45	а не	18	7
46	мы можем	12	7
47	не может	12	7
48	что у	2	7
49	а в	8	7
50	между тем	6	7
51	из них	5	6
52	и здесь	2	6
53	с самого	2	6
54	до сих	4	6
55	один из	2	6
56	и если	4	6
57	в котором	4	6
58	не имеет	6	6
59	указывает на	2	6
60	тому что	2	6
61	которых мы	3	6
62	с одной	4	6
63	так как	10	6
64	если мы	3	6
65	как это	2	6
66	и его	2	6
67	и на	8	6
68	самого начала	2	6
69	о том	5	6
70	там где	4	6
71	в какой	2	5
72	на этом	2	5
73	одной стороны	3	5
74	вместе с	11	5
75	но и	9	5
76	сих пор	4	5
77	другой стороны	2	5
78	т п	3	5
79	или в	2	5
80	мы не	11	5
81	в другом	2	5
82	о котором	2	5
83	в его	2	5
84	могли бы	2	5
85	так сказать	4	5
86	в которой	5	5
87	что если	6	4
88	никогда не	4	4
89	что они	5	4
90	в свою	6	4
91	при этом	13	4
92	не можем	6	4
93	что с	2	4
94	и для	3	4
95	во всех	7	4
96	в самой	3	4
97	но если	2	4
98	в нем	9	4
99	что и	11	4
100	в целом	3	4
101	как в	10	4
102	т д	3	4
103	образом мы	2	4
104	все эти	2	4
105	того что	7	4
106	время как	4	4
107	сказать что	2	4
108	в нас	3	4
109	у него	2	4
110	только в	11	4
111	и другое	4	4
112	одна из	4	4
113	в себе	10	4
114	на деле	3	4
115	не то	2	4
116	место в	4	3
117	как на	3	3
118	в них	5	3
119	оба эти	2	3
120	только для	5	3
121	чем сильнее	3	3
122	из этих	4	3
123	что все	2	3
124	главным образом	4	3
125	к этому	2	3
126	но это	3	3
127	совсем не	2	3
128	того же	14	3
129	одно и	2	3
130	тот же	5	3
131	с теми	2	3
132	все это	2	3
133	то и	9	3
134	и только	6	3
135	бы не	5	3
136	такое же	2	3
137	что не	5	3
138	не так	3	3
139	в таком	4	3
140	и тем	3	3
141	того как	7	3
142	тем что	7	3
143	состоит в	2	3
144	далеко не	3	3
145	в то	6	3
146	бы в	2	3
147	могла бы	3	3
148	его в	3	3
149	которое мы	3	3
150	полагает что	3	3
151	но в	4	3
152	в общем	2	2
153	и затем	2	2
154	не могут	7	2
155	всех этих	2	2
156	можно назвать	2	2
157	в этих	3	2
158	смысле этого	3	2
159	чувства и	4	2
160	хотя бы	2	2
161	столь же	5	2
162	так например	3	2
163	и во	3	2
164	на самом	2	2
165	и вместе	4	2
166	во всяком	7	2
167	что оно	4	2
168	но что	2	2
169	только что	3	2
170	или не	5	2
171	же в	5	2
172	уже не	4	2
173	у нас	2	2
174	в нее	4	2
175	такой же	4	2
176	есть в	2	2
177	свою очередь	6	2
178	очевидно что	3	2
179	то время	4	2
180	животных и	2	2
181	для него	10	2
182	и может	3	2
183	том как	3	2
184	они не	4	2
185	мы в	3	2
186	например в	3	2
187	но он	2	2
188	и той	2	2
189	к ней	2	2
190	согласно с	3	2
191	указывают на	2	2
192	вместе и	5	2
193	всяком случае	7	2
194	но мы	3	2
195	то это	3	2
196	и уже	5	2
197	не знаем	2	2
198	нас на	2	2
199	нам не	2	2
200	со стороны	3	2
201	имеет место	2	2
202	внимание на	2	2
203	что его	3	2
204	вытекает из	2	2
205	так же	2	2
206	том смысле	4	2
207	отношения к	2	2
208	что за	2	2
209	а с	2	2
210	быть не	3	2
211	одной и	2	2
212	и по	2	2
213	есть только	6	2
214	думать что	3	2
215	той же	3	2
216	не имеют	2	2
217	ни по	2	2
218	их в	2	2
219	что только	2	2
220	или если	2	2
221	или от	2	2
222	и следовательно	2	2
223	одно из	3	2
224	одним словом	4	2
225	этого слова	6	2
226	к первой	2	2
227	когда мы	2	2
228	заметить что	6	2
229	с ним	5	2
230	в эту	3	2
231	это будет	3	2
