N	3gram	Trubetskoy_1	StatiiOP
1	в том что	15	17
2	о том что	4	11
3	для того чтобы	7	10
4	с точки зрения	8	8
5	до сих пор	8	7
6	в данном случае	3	6
7	на самом деле	7	6
8	с другой стороны	4	6
9	во всяком случае	2	6
10	в самом деле	5	5
11	не может быть	3	5
12	в этой области	4	5
13	то же время	2	4
14	в то же	2	4
15	на то что	7	4
16	так же как	3	3
17	что же касается	2	3
18	ничего общего с	2	3
19	по отношению к	9	3
20	заключается в том	2	3
21	но все же	2	3
22	то что у	2	2
23	в то время	2	2
24	с одной стороны	2	2
25	как и в	2	2
26	тем не менее	4	2
27	в этом случае	4	2
28	и в том	2	2
29	может быть и	4	2
30	и то что	3	2
31	так или иначе	5	2
