N	2gram	Bakhtin_Fr_3	Psycholo
1	то что	5	37
2	и в	40	30
3	в том	8	27
4	что в	12	24
5	потому что	2	23
6	том что	4	21
7	для того	3	20
8	таким образом	10	20
9	того чтобы	4	20
10	как бы	3	19
11	что он	2	17
12	не только	13	16
13	в самом	6	14
14	в этом	15	14
15	как раз	5	13
16	то есть	18	13
17	в сущности	9	12
18	вместе с	3	12
19	если бы	3	11
20	может быть	9	11
21	о том	4	10
22	с другой	2	9
23	для этого	3	9
24	мы увидим	2	9
25	не может	3	9
26	сказать что	3	9
27	так как	4	9
28	а не	5	8
29	при этом	3	8
30	самом деле	3	8
31	мы видим	5	8
32	и это	2	8
33	в нем	5	7
34	и как	3	7
35	но не	2	7
36	все же	2	7
37	то же	7	7
38	точки зрения	2	7
39	в основе	5	7
40	уже в	2	6
41	в своем	7	6
42	именно в	2	6
43	как и	11	6
44	и если	2	6
45	и для	5	6
46	но и	11	6
47	и не	13	6
48	жизни и	4	6
49	и его	17	6
50	и здесь	4	6
51	никак не	3	6
52	тем что	3	6
53	мы уже	13	6
54	на этом	2	6
55	и есть	3	5
56	в целом	2	5
57	как мы	10	5
58	и потому	4	5
59	в этой	3	5
60	еще не	3	5
61	до сих	4	5
62	было бы	4	5
63	один из	4	5
64	сих пор	4	5
65	рядом с	2	5
66	в своих	5	5
67	в себе	3	5
68	но в	8	5
69	только в	3	5
70	в частности	3	4
71	сравнению с	2	4
72	и все	9	4
73	прежде всего	16	4
74	у нас	4	4
75	и к	3	4
76	в своей	6	4
77	в ней	4	4
78	в его	13	4
79	в них	9	4
80	по сравнению	2	4
81	только на	4	4
82	а в	3	4
83	там где	3	4
84	в конце	3	4
85	о чем	2	4
86	в виду	7	4
87	и другие	2	3
88	у него	8	3
89	в состоянии	2	3
90	хотя бы	2	3
91	это не	2	3
92	из этих	2	3
93	это в	2	3
94	к этому	6	3
95	вовсе не	12	3
96	об этом	3	3
97	это есть	2	3
98	одна из	3	3
99	для него	5	3
100	он говорит	6	3
101	он не	9	3
102	в ее	3	3
103	что и	3	3
104	на его	2	3
105	ни в	4	3
106	данном случае	2	3
107	так и	3	3
108	как в	3	3
109	в их	4	3
110	так в	4	3
111	времени и	2	3
112	этом отношении	2	3
113	в той	6	3
114	и о	4	3
115	и наконец	3	3
116	тем же	2	3
117	той же	8	3
118	мы не	2	3
119	можно было	3	3
120	но он	2	3
121	и на	8	3
122	в данном	4	3
123	в другом	3	3
124	в этих	6	3
125	в которой	2	3
126	из самых	2	2
127	с его	3	2
128	связи с	6	2
129	он в	2	2
130	в последних	2	2
131	с этим	2	2
132	в одном	7	2
133	или иной	2	2
134	с помощью	2	2
135	можно сказать	2	2
136	мы знаем	2	2
137	он был	3	2
138	до конца	6	2
139	в романе	15	2
140	но все	3	2
141	того же	2	2
142	в нашей	2	2
143	в большей	2	2
144	в образах	6	2
145	по преимуществу	2	2
146	и следовательно	3	2
147	той или	2	2
148	еще в	3	2
149	в котором	2	2
150	из них	4	2
151	во всех	6	2
152	и той	2	2
153	и до	8	2
154	в форме	2	2
155	все это	4	2
156	по отношению	3	2
157	в отличие	3	2
158	в течение	2	2
159	это и	2	2
160	одной и	2	2
161	мы находим	3	2
162	и вот	2	2
163	и даже	4	2
164	между ними	3	2
165	отличие от	3	2
166	и с	8	2
167	говорит он	2	2
168	и так	2	2
169	в нашем	4	2
170	он дает	2	2
171	даже и	2	2
172	во всем	3	2
173	в то	6	2
174	все то	2	2
175	которые он	2	2
176	как он	2	2
177	все эти	8	2
178	дело в	2	2
179	из этого	2	2
180	связь между	3	2
181	на самом	3	2
