N	2gram	Tiupa_Lite_1	TeoriaLi
1	в мире	2	24
2	не только	24	18
3	в качестве	17	17
4	тогда как	13	16
5	и не	12	16
6	я в	5	16
7	а в	3	14
8	в частности	15	13
9	и в	8	13
10	состоит в	11	13
11	может быть	13	12
12	так и	4	12
13	то есть	6	12
14	представляет собой	4	11
15	при этом	19	11
16	в этом	12	11
17	в том	16	11
18	но не	4	10
19	в тексте	8	10
20	а не	16	10
21	и его	4	10
22	в его	7	9
23	то же	5	9
24	в душе	3	8
25	произведение искусства	8	8
26	сводится к	3	8
27	что в	3	8
28	своего рода	11	8
29	такого рода	10	8
30	отношению к	2	8
31	но и	17	8
32	по отношению	3	8
33	себя в	6	7
34	в себе	7	7
35	том что	14	7
36	в отличие	5	7
37	в данном	5	7
38	точки зрения	6	7
39	по своей	3	7
40	в то	5	7
41	только в	8	7
42	как это	8	7
43	отличие от	5	7
44	с его	5	6
45	же время	5	6
46	еще не	4	6
47	лишь в	4	6
48	как бы	7	6
49	в русской	10	6
50	но в	3	6
51	я есть	2	5
52	в рамках	6	5
53	однако в	2	5
54	в своем	11	5
55	не сводится	3	5
56	или иной	2	5
57	а также	5	5
58	как и	6	5
59	не в	8	5
60	в пределах	3	5
61	в самом	3	5
62	в нем	2	5
63	данном случае	4	5
64	как в	5	5
65	уже не	7	5
66	тем самым	5	5
67	коммуникативного события	7	5
68	в принципе	3	5
69	с другой	3	5
70	не случайно	2	5
71	между тем	2	5
72	в искусстве	2	5
73	не менее	7	4
74	конечном счете	4	4
75	не столько	5	4
76	в стихотворении	4	4
77	субъекта и	3	4
78	внутреннего я	2	4
79	читателя в	2	4
80	в конечном	5	4
81	в своей	4	4
82	то что	10	4
83	литературного произведения	4	4
84	по преимуществу	4	4
85	в их	3	4
86	приводит к	3	4
87	и т.п	4	4
88	не может	5	4
89	на смену	6	4
90	в слове	2	4
91	художественного впечатления	2	4
92	как эстетической	2	4
93	как правило	2	4
94	всего лишь	4	4
95	эстетический объект	3	4
96	текста как	2	4
97	по мысли	2	3
98	лирический герой	4	3
99	художественного творчества	3	3
100	и др	3	3
101	никогда не	4	3
102	говоря словами	3	3
103	прежде всего	11	3
104	а только	2	3
105	тем не	2	3
106	зрителя слушателя	3	3
107	для него	2	3
108	объекта и	2	3
109	того что	6	3
110	и сам	6	3
111	своем составе	2	3
112	например в	3	3
113	на почве	2	3
114	художественного письма	9	3
115	как раз	4	3
116	таким образом	3	3
117	мира в	3	3
118	художественного целого	2	3
119	в другом	2	3
120	читателя зрителя	4	3
121	самим собой	2	3
122	и то	2	3
123	потому что	3	3
124	нового времени	2	3
125	в основе	3	3
126	в этой	4	3
127	его в	3	3
128	все эти	2	3
129	в художественном	4	3
130	эстетического объекта	6	3
131	в лирике	3	3
132	во мне	2	2
133	я не	7	2
134	русской поэзии	5	2
135	эстетического адресата	2	2
136	одну из	2	2
137	пен пан	3	2
138	могут быть	2	2
139	за пределы	2	2
140	в конце	4	2
141	того же	2	2
142	это не	4	2
143	художественности состоит	2	2
144	человеческого я	3	2
145	о себе	4	2
146	и весьма	2	2
147	с.с аверинцева	2	2
148	нас самих	2	2
149	что он	5	2
150	к тому	2	2
151	и того	2	2
152	эстетического субъекта	9	2
153	и адресата	4	2
154	особого рода	2	2
155	его я	2	2
156	казалось бы	5	2
157	одной стороны	2	2
158	во втором	2	2
159	эстетической деятельности	4	2
160	о своем	2	2
161	мы в	2	2
162	в виду	3	2
163	так или	8	2
164	даже в	2	2
165	не могло	2	2
166	и тем	4	2
167	в целом	8	2
168	в культуре	3	2
169	дело не	2	2
170	русской литературе	5	2
171	коммуникативное событие	4	2
172	со стороны	4	2
173	могло быть	2	2
174	не на	2	2
175	факторов художественного	2	2
176	мышления и	2	2
177	с одной	2	2
178	от себя	2	2
179	в себя	2	2
180	в году	13	2
181	с точки	2	2
182	и даже	3	2
183	войне и	2	2
184	роль в	2	2
185	или иначе	9	2
186	культуры в	4	2
187	у него	3	2
188	самим собою	2	2
189	духовного общения	2	2
190	на себя	2	2
191	с читателем	2	2
192	как будто	2	2
193	в равной	2	2
194	о том	2	2
195	произведения искусства	3	2
196	этого текста	3	2
197	в области	3	2
198	я и	7	2
